,date,W,L,ERA,IP,H,ER,HR,BB,SO,WHIP
0,2021-04-06,0,0,1.80,5.0,6,1,0,0,4,1.20
1,2021-04-12,0,1,2.70,5.0,3,2,1,1,3,1.00
2,2021-04-17,0,0,2.45,4.2,5,1,0,3,5,1.23
3,2021-04-22,1,0,1.83,5.0,2,0,0,0,2,1.02
4,2021-04-27,0,0,2.22,4.2,1,2,0,5,6,1.07
5,April,1,1,2.22,24.1,17,6,1,9,20,1.07
6,2021-05-04,0,0,3.18,4.0,7,4,1,1,4,1.20
7,May,0,0,9.00,4.0,7,4,1,1,4,2.00
8,2021-07-30,0,0,3.26,2.0,3,1,0,0,1,1.22
9,July,0,0,4.50,2.0,3,1,0,0,1,1.50
10,2021-08-03,0,0,2.97,3.0,1,0,0,4,1,1.26
11,2021-08-07,0,0,3.06,2.0,4,1,0,1,0,1.33
12,August,0,0,1.80,5.0,5,1,0,5,1,2.00
