,date,W,L,ERA,GS,SV,IP,H,R,ER,HR,BB,SO,WHIP
0,2020-08-03,0,0,0.00,0,0,0.1,0,0,0,0,0,0,0.00
1,2020-08-05,0,0,0.00,0,0,1.0,0,0,0,0,0,1,0.00
2,2020-08-09,0,0,10.80,0,0,0.1,2,2,2,0,1,1,1.80
3,2020-08-11,0,0,9.00,0,0,0.1,0,0,0,0,0,1,1.50
4,2020-08-12,0,0,10.13,0,0,0.2,3,1,1,1,0,1,2.25
5,2020-08-14,0,0,7.36,0,0,1.0,1,0,0,0,1,1,2.18
6,2020-08-16,0,0,5.40,0,0,1.1,1,0,0,0,0,2,1.80
7,2020-08-19,0,0,4.05,0,0,1.2,1,0,0,0,0,4,1.50
8,2020-08-25,0,0,3.86,0,0,0.1,0,0,0,0,0,0,1.43
9,2020-08-28,0,0,6.14,0,0,0.1,2,2,2,2,0,0,1.64
10,2020-08-30,0,0,5.87,0,0,0.1,0,0,0,0,1,0,1.70
11,August,0,0,5.87,0,0,7.2,10,5,5,3,3,11,1.70
12,2020-09-12,0,0,5.19,0,0,1.0,1,0,0,0,0,1,1.62
13,2020-09-14,0,0,4.66,0,0,1.0,0,0,0,0,0,1,1.45
14,2020-09-16,0,0,5.23,0,0,0.2,1,1,1,0,1,1,1.55
15,2020-09-20,0,0,4.76,0,0,1.0,1,0,0,0,0,1,1.50
16,2020-09-22,0,0,4.26,0,0,1.1,0,0,0,0,0,1,1.34
17,2020-09-25,0,1,5.54,0,0,0.1,1,2,2,0,2,0,1.54
18,September,0,1,5.06,0,0,5.1,4,3,3,0,3,5,1.31
