,date,W,L,ERA,GS,SV,IP,H,R,ER,HR,BB,SO,WHIP
0,2018-03-29,0,0,0.00,0,0,1.0,0,0,0,0,1,3,1.00
1,2018-03-30,0,0,0.00,0,0,1.0,0,0,0,0,0,3,0.50
2,March,0,0,0.00,0,0,2.0,0,0,0,0,1,6,0.50
3,2018-04-02,0,0,0.00,0,0,1.0,0,0,0,0,0,2,0.33
4,2018-04-05,1,0,0.00,0,0,2.0,1,0,0,0,0,2,0.40
5,2018-04-07,1,0,0.00,0,0,1.0,0,0,0,0,0,1,0.33
6,2018-04-09,0,0,0.00,0,0,1.0,0,0,0,0,0,3,0.29
7,2018-04-11,0,0,0.00,0,0,1.0,0,0,0,0,0,2,0.25
8,2018-04-13,0,0,0.00,0,0,0.2,0,0,0,0,0,2,0.23
9,2018-04-15,1,0,0.93,0,0,1.0,1,1,1,0,0,2,0.31
10,2018-04-16,0,0,0.84,0,0,1.0,0,0,0,0,0,2,0.28
11,2018-04-21,0,0,0.77,0,0,1.0,0,0,0,0,0,0,0.26
12,2018-04-22,0,0,0.71,0,0,1.0,0,0,0,0,1,2,0.32
13,2018-04-25,0,0,0.66,0,0,1.0,0,0,0,0,1,2,0.37
14,2018-04-27,0,0,0.60,0,0,1.1,2,0,0,0,0,2,0.47
15,2018-04-30,0,0,0.56,0,0,1.0,0,0,0,0,1,2,0.50
16,April,3,0,0.64,0,0,14.0,4,1,1,0,3,24,0.50
17,2018-05-01,0,0,0.53,0,0,1.0,0,0,0,0,0,1,0.47
18,2018-05-05,0,0,0.50,0,0,1.0,0,0,0,0,1,1,0.50
19,2018-05-06,0,0,0.47,0,1,1.0,1,0,0,0,1,3,0.58
20,2018-05-08,0,0,1.35,0,0,1.0,1,2,2,1,1,0,0.65
21,2018-05-11,0,0,1.29,0,0,1.0,0,0,0,0,2,1,0.71
22,2018-05-12,0,0,1.23,0,0,1.0,0,0,0,0,0,2,0.68
23,2018-05-14,0,0,1.17,0,0,1.0,0,0,0,0,0,3,0.65
24,2018-05-17,0,0,1.08,0,0,2.0,1,0,0,0,0,3,0.64
25,2018-05-21,0,0,1.04,0,0,1.0,0,0,0,0,1,1,0.65
26,2018-05-23,0,0,1.01,0,0,0.2,0,0,0,0,0,0,0.64
27,2018-05-25,0,0,0.98,0,0,1.0,1,0,0,0,0,0,0.65
28,2018-05-27,0,0,0.95,0,0,0.2,0,0,0,0,0,0,0.64
29,May,0,0,1.46,0,1,12.1,4,2,2,1,6,15,0.81
30,2018-06-15,0,0,0.92,0,0,1.0,0,0,0,0,1,2,0.65
31,2018-06-17,0,0,0.89,0,0,1.0,1,0,0,0,0,1,0.66
32,2018-06-19,0,0,0.85,0,0,1.1,0,0,0,0,0,3,0.63
33,2018-06-20,0,0,0.83,0,0,1.0,1,0,0,0,0,1,0.64
34,2018-06-24,0,0,0.79,0,0,1.2,0,0,0,0,0,2,0.61
35,2018-06-26,0,1,1.00,0,0,1.2,1,1,1,0,3,2,0.69
36,2018-06-28,1,0,1.46,0,0,1.0,3,2,2,0,2,2,0.81
37,2018-06-30,0,0,1.42,0,1,1.0,1,0,0,0,0,1,0.82
38,June,1,1,2.79,0,1,9.2,7,3,3,0,6,14,1.34
39,2018-07-01,0,1,1.88,0,0,0.1,4,2,2,1,0,1,0.91
40,2018-07-07,0,0,1.79,0,0,2.0,2,0,0,0,0,3,0.92
41,2018-07-10,0,0,1.74,0,0,1.0,1,0,0,0,1,0,0.94
42,2018-07-12,0,0,1.69,0,0,1.1,1,0,0,0,1,1,0.96
43,2018-07-13,0,0,1.65,0,0,1.0,0,0,0,0,0,2,0.94
44,2018-07-14,0,0,1.62,0,0,0.2,0,0,0,0,0,1,0.92
45,2018-07-20,0,0,1.58,0,1,1.1,2,1,0,0,1,1,0.96
46,2018-07-21,0,0,1.54,0,0,1.0,0,0,0,0,0,2,0.94
47,2018-07-24,0,0,1.52,0,0,0.2,0,0,0,0,0,2,0.93
48,2018-07-25,0,0,1.49,0,0,1.0,0,0,0,0,0,2,0.91
49,2018-07-27,0,0,1.46,0,1,1.0,0,0,0,0,0,0,0.89
50,2018-07-28,0,0,1.43,0,0,1.0,0,0,0,0,0,2,0.87
51,2018-07-30,0,0,1.40,0,0,1.0,1,0,0,0,1,1,0.90
52,July,0,1,1.35,0,2,13.1,11,3,2,1,4,18,1.13
53,2018-08-02,0,0,1.38,0,0,1.0,0,0,0,0,1,1,0.90
54,2018-08-03,0,0,1.35,0,0,1.0,0,0,0,0,0,0,0.88
55,2018-08-05,0,0,1.66,0,0,1.0,2,3,2,1,0,3,0.90
56,2018-08-08,0,0,1.63,0,0,1.0,1,1,0,0,2,0,0.94
57,2018-08-10,0,0,1.60,0,1,1.0,1,0,0,0,0,1,0.94
58,2018-08-12,0,0,1.73,0,0,1.0,2,1,1,0,0,1,0.96
