,date,W,L,ERA,IP,H,ER,HR,BB,SO,WHIP
0,2021-04-04,0,0,9.00,1.0,2,1,0,2,2,4.00
1,2021-04-05,0,0,6.75,0.1,0,0,0,0,1,3.00
2,2021-04-10,0,0,11.57,1.0,3,2,0,0,1,3.00
3,2021-04-13,1,0,8.10,1.0,0,0,0,1,0,2.40
4,2021-04-15,0,1,9.82,0.1,2,1,0,0,1,2.73
5,2021-04-17,1,0,7.71,1.0,0,0,0,0,3,2.14
6,2021-04-20,0,0,6.35,1.0,0,0,0,1,1,1.94
7,2021-04-22,0,0,5.40,1.0,0,0,0,2,0,1.95
8,2021-04-23,0,0,4.91,0.2,0,0,0,0,2,1.77
9,2021-04-25,0,0,4.32,1.0,0,0,0,1,1,1.68
10,2021-04-28,0,0,3.86,1.0,0,0,0,0,1,1.50
11,April,2,1,3.86,9.1,7,4,0,7,13,1.50
12,2021-05-02,0,1,5.40,0.2,1,2,0,2,0,1.70
13,2021-05-04,0,0,4.91,1.0,0,0,0,1,2,1.64
14,2021-05-05,0,0,4.50,1.0,1,0,0,0,2,1.58
15,2021-05-06,0,0,4.15,1.0,0,0,0,1,0,1.54
16,2021-05-09,0,0,4.50,1.0,1,1,0,0,0,1.50
17,2021-05-11,0,0,4.30,0.2,1,0,0,0,0,1.50
18,2021-05-14,0,0,4.02,1.0,0,0,0,0,2,1.40
19,2021-05-16,0,0,3.86,0.2,1,0,0,1,1,1.47
20,2021-05-19,0,0,3.63,1.0,1,0,0,0,1,1.44
21,2021-05-22,0,0,3.44,1.0,0,0,0,0,3,1.36
22,2021-05-26,0,0,3.20,1.1,0,0,0,0,0,1.27
23,2021-05-28,0,0,3.05,1.0,0,0,0,3,2,1.35
24,2021-05-29,0,0,2.95,0.2,0,0,0,1,2,1.36
25,May,0,1,2.25,12.0,6,3,0,9,15,1.25
26,2021-06-03,0,0,2.91,0.1,0,0,0,0,0,1.34
27,2021-06-05,0,0,2.78,1.0,0,0,0,0,0,1.28
28,2021-06-06,0,0,2.66,1.0,0,0,0,1,0,1.27
29,2021-06-07,0,0,2.88,1.1,3,1,0,0,2,1.32
30,2021-06-10,0,0,2.77,1.0,1,0,0,0,1,1.31
31,2021-06-15,0,0,2.67,1.0,0,0,0,0,2,1.26
32,2021-06-16,0,0,2.89,1.0,2,1,0,0,1,1.29
33,2021-06-22,0,0,2.79,1.0,1,0,0,1,1,1.31
34,2021-06-24,0,0,2.73,0.2,0,0,0,0,0,1.28
35,2021-06-25,0,0,2.64,1.0,0,0,0,0,2,1.24
36,2021-06-26,0,0,2.81,1.1,2,1,0,1,1,1.28
37,2021-06-29,0,0,2.73,1.0,2,0,0,0,1,1.30
38,June,0,0,2.31,11.2,11,3,0,3,11,1.20
39,2021-07-02,0,0,2.65,1.0,1,0,0,0,0,1.29
40,2021-07-03,0,0,2.57,1.0,1,0,0,0,1,1.29
41,2021-07-05,0,0,2.75,1.0,2,1,0,1,2,1.33
42,2021-07-11,0,0,2.68,1.0,0,0,0,0,1,1.30
43,2021-07-19,0,0,2.61,1.0,0,0,0,0,2,1.26
44,2021-07-21,0,0,2.54,1.0,0,0,0,1,1,1.26
45,2021-07-22,0,0,2.93,1.0,1,2,0,2,1,1.30
46,2021-07-24,0,1,3.35,0.1,3,2,0,0,0,1.36
47,2021-07-26,1,0,3.27,1.0,1,0,0,0,0,1.35
48,2021-07-31,0,0,3.86,0.2,2,3,0,0,2,1.38
49,July,1,1,8.00,9.0,11,8,0,4,10,1.67
50,2021-08-04,0,0,3.74,1.1,1,0,0,0,2,1.36
51,2021-08-07,0,0,3.65,1.0,0,0,0,0,1,1.33
52,2021-08-08,0,0,3.72,1.2,2,1,0,0,0,1.33
53,2021-08-15,0,0,3.88,0.1,1,1,0,1,0,1.36
54,2021-08-18,0,0,3.80,1.0,0,0,0,2,0,1.37
55,2021-08-21,0,0,3.72,1.0,1,0,0,1,0,1.39
56,2021-08-23,0,0,3.65,1.0,1,0,0,1,0,1.40
57,2021-08-24,0,0,3.58,1.0,1,0,0,1,1,1.41
58,2021-08-27,0,0,3.51,1.0,0,0,0,1,2,1.40
59,2021-08-28,0,0,3.46,0.2,1,0,0,0,1,1.40
60,August,0,0,1.80,10.0,8,2,0,7,7,1.50
61,2021-09-01,0,0,3.40,1.0,0,0,0,0,2,1.38
62,2021-09-03,1,0,3.35,0.2,0,0,0,0,2,1.36
63,2021-09-04,1,0,3.79,1.0,3,3,1,0,1,1.39
64,2021-09-06,0,0,3.90,0.2,2,1,1,0,1,1.41
65,2021-09-10,0,0,3.83,1.0,0,0,0,1,2,1.40
66,2021-09-12,0,0,3.79,0.2,0,0,0,1,1,1.40
67,2021-09-14,1,0,3.77,0.1,0,0,0,0,0,1.40
68,2021-09-15,1,0,3.68,1.1,0,0,0,0,2,1.36
69,2021-09-22,0,0,3.77,1.0,1,1,1,1,1,1.37
70,2021-09-26,0,0,4.07,0.0,2,2,1,0,0,1.41
71,2021-09-30,0,0,4.01,1.0,1,0,0,0,1,1.40
72,September,4,0,7.27,8.2,9,7,4,3,13,1.38
73,2021-10-01,0,0,4.09,1.0,2,1,1,0,1,1.41
74,2021-10-02,0,0,4.21,0.1,1,1,0,2,1,1.45
75,October,0,0,13.50,1.1,3,2,1,2,2,3.75
