,date,W,L,ERA,GS,SV,IP,H,R,ER,HR,BB,SO,WHIP
0,2018-04-14,0,1,17.18,1,0,3.2,10,8,7,2,1,0,3.00
1,2018-04-19,0,1,15.43,1,0,3.1,10,7,5,1,1,4,3.14
2,2018-04-25,0,1,13.11,1,0,4.2,10,5,5,0,1,0,2.83
3,April,0,3,13.11,3,0,11.2,30,20,17,3,3,4,2.83
4,2018-05-01,0,0,9.68,1,0,6.0,7,2,2,1,2,2,2.38
5,2018-05-06,0,1,7.61,1,0,6.0,5,2,1,0,1,5,2.03
6,2018-05-12,0,1,7.06,1,0,5.2,7,4,3,2,0,5,1.88
7,2018-05-18,1,0,6.56,1,0,6.1,10,3,3,1,1,3,1.85
8,2018-05-23,0,1,7.32,1,0,3.2,8,6,6,1,2,3,1.93
9,2018-05-28,0,1,6.80,1,0,7.0,5,3,3,1,3,3,1.81
10,May,1,4,4.67,6,0,34.2,42,20,18,6,9,21,1.47
11,2018-06-05,1,0,6.19,1,0,6.0,2,1,1,0,1,7,1.66
12,2018-06-10,0,1,7.23,1,0,3.2,11,9,9,2,1,5,1.77
13,2018-06-16,0,1,7.14,1,0,7.0,7,5,5,2,2,6,1.71
14,2018-06-22,0,0,6.56,1,0,7.0,4,1,1,0,2,6,1.63
15,2018-06-27,0,0,6.75,1,0,4.2,8,5,5,1,3,1,1.67
16,June,1,2,6.67,5,0,28.1,32,21,21,5,9,25,1.45
17,2018-07-03,0,1,6.53,1,0,6.2,4,3,3,0,3,5,1.62
18,2018-07-08,0,1,6.67,1,0,5.0,7,5,5,2,1,5,1.62
19,2018-07-13,0,1,6.41,1,0,6.1,6,2,2,1,0,3,1.58
20,2018-07-21,0,1,6.17,1,0,5.0,4,4,1,0,3,4,1.57
21,2018-07-26,0,1,6.08,1,0,6.0,8,4,3,0,1,2,1.56
22,July,0,5,4.34,5,0,29.0,29,18,14,3,8,19,1.28
23,2018-08-01,1,0,5.83,1,0,6.0,7,1,1,1,0,6,1.54
24,2018-08-07,0,0,5.55,1,0,7.0,5,1,1,0,2,3,1.51
25,2018-08-12,0,1,5.31,1,0,7.0,6,2,1,1,2,7,1.49
26,2018-08-18,1,0,5.09,1,0,9.0,5,2,2,0,1,3,1.43
27,2018-08-24,0,0,5.00,1,0,6.0,3,2,2,1,3,6,1.41
28,2018-08-29,0,0,5.11,1,0,5.2,8,5,5,3,2,4,1.43
29,August,2,1,2.66,6,0,40.2,34,13,12,6,10,29,1.08
30,2018-09-04,1,0,4.97,1,0,6.0,4,1,1,1,3,2,1.42
31,2018-09-11,0,0,4.90,1,0,2.0,1,0,0,0,1,2,1.41
32,2018-09-23,0,0,4.90,1,0,0.0,0,0,0,0,0,0,1.41
33,September,1,0,1.13,3,0,8.0,5,1,1,1,4,4,1.13
