,date,W,L,ERA,GS,SV,IP,H,R,ER,HR,BB,SO,WHIP
0,2020-07-26,0,0,0.00,0,0,2.0,0,0,0,0,1,2,0.50
1,2020-07-30,0,0,2.70,0,0,1.1,1,1,1,1,1,2,0.90
2,2020-07-31,0,0,2.25,0,0,0.2,1,0,0,0,0,2,1.00
3,July,0,0,2.25,0,0,4.0,2,1,1,1,2,6,1.00
4,2020-08-06,0,0,1.80,0,0,1.0,0,0,0,0,0,1,0.80
5,2020-08-07,0,0,2.57,0,0,2.0,3,1,1,1,0,1,1.00
6,2020-08-10,1,0,3.00,0,0,2.0,2,1,1,1,0,1,1.00
7,2020-08-11,0,0,4.66,0,0,0.2,2,2,2,0,0,1,1.14
8,2020-08-15,0,0,3.86,1,0,4.1,4,1,1,1,1,5,1.14
9,2020-08-20,0,1,4.50,1,0,4.0,4,3,3,2,1,4,1.17
10,2020-08-25,0,0,4.70,1,0,5.0,5,3,3,1,1,5,1.17
11,August,1,1,5.21,3,0,19.0,20,11,11,6,3,18,1.21
12,2020-09-01,0,1,4.50,1,0,5.0,6,4,2,0,5,4,1.36
13,2020-09-06,0,1,4.59,1,0,5.1,7,3,3,2,0,3,1.35
14,2020-09-11,1,0,4.42,0,0,5.1,2,2,2,1,2,1,1.27
15,2020-09-17,0,1,5.44,1,0,2.2,8,6,6,1,1,2,1.40
16,2020-09-23,0,0,5.44,1,0,5.0,6,3,3,0,1,5,1.40
17,September,1,3,6.17,4,0,23.1,29,18,16,4,9,15,1.63
