,date,W,L,ERA,IP,H,ER,HR,BB,SO,WHIP
0,2021-04-01,0,0,0.00,0.2,1,0,0,1,0,3.00
1,2021-04-03,0,0,0.00,1.0,0,0,0,0,2,1.20
2,2021-04-05,0,0,0.00,1.1,0,0,0,0,4,0.67
3,2021-04-07,0,0,0.00,0.2,1,0,0,0,2,0.82
4,2021-04-12,0,0,6.75,0.1,3,3,0,1,0,1.75
5,2021-04-13,0,0,5.79,0.2,0,0,0,1,1,1.71
6,2021-04-18,0,0,4.76,1.0,0,0,0,0,1,1.41
7,2021-04-20,0,0,3.86,1.1,1,0,0,0,0,1.29
8,2021-04-22,0,0,3.24,1.1,0,0,0,0,2,1.08
9,2021-04-24,0,1,5.00,0.2,2,2,1,0,0,1.22
10,2021-04-26,0,0,4.50,1.0,0,0,0,1,1,1.20
11,2021-04-29,0,0,4.22,0.2,0,0,0,0,0,1.13
12,April,0,1,4.22,10.2,8,5,1,4,13,1.13
13,2021-05-01,0,0,3.75,1.1,0,0,0,0,1,1.00
14,2021-05-02,0,0,3.46,1.0,0,0,0,0,1,0.92
15,2021-05-04,0,0,3.21,1.0,1,0,0,0,1,0.93
16,2021-05-07,0,0,3.60,1.0,1,1,0,1,1,1.00
17,2021-05-08,0,0,3.38,1.0,0,0,0,1,1,1.00
18,2021-05-12,0,0,3.00,2.0,0,0,0,0,2,0.89
19,2021-05-14,0,0,2.84,1.0,0,0,0,0,1,0.84
20,2021-05-17,0,0,2.70,1.0,1,0,0,2,0,0.95
21,2021-05-20,0,0,2.57,1.0,0,0,0,0,0,0.90
22,2021-05-23,0,0,2.49,0.2,0,0,0,1,0,0.92
23,2021-05-25,0,0,2.45,0.1,1,0,0,0,1,0.95
24,2021-05-26,0,0,2.42,0.1,0,0,0,0,1,0.94
25,2021-05-28,0,0,2.28,1.1,2,0,0,0,1,0.97
26,2021-05-31,0,0,2.22,0.2,0,0,0,0,1,0.95
27,May,0,0,0.66,13.2,6,1,0,5,12,0.80
28,2021-06-01,0,0,2.13,1.0,0,0,0,0,0,0.91
29,2021-06-06,0,0,2.05,1.0,1,0,0,0,0,0.91
30,2021-06-08,0,0,1.98,1.0,1,0,0,0,1,0.91
31,2021-06-12,0,0,1.91,1.0,1,0,0,0,1,0.92
32,2021-06-17,0,0,1.84,1.0,0,0,0,0,1,0.89
33,2021-06-20,0,0,1.78,1.0,0,0,0,0,1,0.86
34,2021-06-22,0,0,1.72,1.0,0,0,0,0,0,0.83
35,2021-06-24,0,0,1.67,1.0,0,0,0,1,0,0.84
36,2021-06-25,0,0,1.64,0.2,0,0,0,0,1,0.82
37,2021-06-28,0,0,1.59,1.0,1,0,0,0,0,0.82
38,June,0,0,0.00,9.2,4,0,0,1,5,0.52
39,2021-07-02,0,0,1.54,1.0,0,0,0,0,1,0.80
40,2021-07-04,0,0,1.51,0.2,0,0,0,0,1,0.79
41,2021-07-07,0,0,1.43,2.0,0,0,0,0,2,0.74
42,2021-07-09,0,0,1.42,0.1,0,0,0,0,1,0.74
43,2021-07-16,0,0,1.38,1.0,0,0,0,0,1,0.72
44,2021-07-21,0,0,1.37,0.1,1,0,0,0,1,0.74
45,2021-07-24,0,1,2.06,0.0,2,3,0,2,0,0.84
46,2021-07-28,0,0,2.03,0.2,1,0,0,0,1,0.85
47,2021-07-31,0,0,1.98,1.0,0,0,0,0,1,0.83
48,July,0,1,3.86,7.0,4,3,0,2,9,0.86
49,2021-08-01,0,0,1.93,1.0,1,0,0,0,0,0.83
50,2021-08-04,0,0,1.88,1.0,1,0,0,0,1,0.84
51,2021-08-06,0,0,1.84,1.0,0,0,0,0,2,0.82
52,2021-08-08,0,0,1.80,1.0,0,0,0,0,2,0.80
53,2021-08-10,0,0,1.76,1.0,0,0,0,0,1,0.78
54,2021-08-14,1,0,1.70,1.2,1,0,0,1,0,0.80
55,2021-08-18,0,0,1.66,1.0,2,0,0,0,1,0.82
56,2021-08-19,0,0,1.63,1.0,0,0,0,1,1,0.83
57,2021-08-21,0,0,1.95,1.0,2,2,2,0,0,0.85
58,2021-08-23,0,0,1.90,1.1,1,0,0,0,2,0.85
59,2021-08-26,0,0,1.87,1.0,0,0,0,0,0,0.83
60,2021-08-28,0,0,1.83,1.0,1,0,0,0,1,0.83
61,2021-08-29,0,0,1.80,1.0,0,0,0,0,2,0.82
62,2021-08-31,0,0,1.77,1.0,0,0,0,0,2,0.80
63,August,1,0,1.20,15.0,9,2,2,2,15,0.73
64,2021-09-02,0,0,1.73,1.1,1,0,0,0,2,0.80
65,2021-09-08,0,0,1.67,2.0,2,0,0,0,1,0.81
66,2021-09-09,0,0,1.64,1.0,1,0,0,0,0,0.81
67,2021-09-11,0,1,1.78,0.1,1,1,1,0,0,0.82
68,2021-09-15,0,0,1.89,1.1,2,1,0,2,1,0.87
69,2021-09-16,0,0,1.86,1.0,2,0,0,0,2,0.89
70,2021-09-18,0,0,1.83,1.0,2,0,0,1,0,0.92
71,2021-09-22,0,0,1.81,0.2,1,0,0,0,1,0.93
72,2021-09-23,0,0,1.78,1.0,0,0,0,0,0,0.91
73,2021-09-25,1,0,1.76,1.0,0,0,0,0,1,0.90
74,2021-09-26,0,0,1.73,1.0,1,0,0,1,2,0.92
75,2021-09-29,0,1,1.83,1.0,1,1,0,1,0,0.93
76,September,1,2,2.13,12.2,14,3,1,5,10,1.50
