,date,W,L,ERA,IP,H,ER,HR,BB,SO,WHIP
0,2020-07-26,0,0,9.00,1.0,1,1,0,1,1,2.00
1,2020-07-29,0,0,5.40,0.2,2,0,0,0,0,2.40
2,July,0,0,5.40,1.2,3,1,0,1,1,2.40
3,2020-08-15,0,0,3.38,1.0,1,0,0,0,2,1.88
4,2020-08-17,0,0,2.45,1.0,0,0,0,0,1,1.36
5,2020-08-19,0,1,6.75,0.1,3,2,0,0,1,2.00
6,2020-08-22,0,0,5.79,0.2,1,0,0,1,0,2.14
7,2020-08-23,0,0,4.76,1.0,0,0,0,0,1,1.76
8,August,0,1,4.50,4.0,5,2,0,1,5,1.50
9,2020-09-05,0,0,4.05,1.0,0,0,0,0,0,1.50
10,2020-09-08,0,0,3.68,0.2,0,0,0,0,0,1.36
11,2020-09-12,0,0,3.38,0.2,0,0,0,0,1,1.25
12,2020-09-13,0,0,4.15,0.2,0,1,0,1,0,1.27
13,2020-09-17,0,0,3.72,1.0,0,0,0,1,1,1.24
14,2020-09-18,1,0,3.38,1.0,0,0,0,0,3,1.13
15,2020-09-20,0,0,3.09,1.0,0,0,0,0,1,1.03
16,2020-09-24,0,0,2.92,0.2,1,0,0,0,2,1.05
17,2020-09-26,0,0,2.77,0.2,0,0,0,1,2,1.08
18,September,1,0,1.23,7.1,1,1,0,3,10,0.55
