,date,W,L,ERA,GS,SV,IP,H,R,ER,HR,BB,SO,WHIP
0,2020-08-02,0,0,0.00,1,0,5.0,3,0,0,0,0,2,0.60
1,2020-08-08,1,0,0.00,1,0,6.0,2,0,0,0,1,6,0.55
2,2020-08-13,0,1,6.23,1,0,2.0,9,9,9,3,2,1,1.31
3,2020-08-21,0,0,5.71,1,0,4.1,3,2,2,0,4,2,1.38
4,2020-08-31,0,1,7.71,1,0,3.2,7,7,7,1,4,3,1.67
5,August,1,2,7.71,5,0,21.0,24,18,18,4,11,14,1.67
6,2020-09-05,0,0,7.20,1,0,4.0,6,2,2,1,3,2,1.76
7,2020-09-14,0,0,7.28,1,0,4.2,7,4,4,2,1,7,1.75
8,2020-09-22,0,0,7.04,0,0,1.0,0,0,0,0,0,0,1.70
9,2020-09-26,0,0,7.22,0,0,3.0,4,3,3,0,1,2,1.69
10,September,0,0,6.39,2,0,12.2,17,9,9,3,5,11,1.74
