,date,W,L,ERA,GS,SV,IP,H,R,ER,HR,BB,SO,WHIP
0,2021-04-02,0,0,0.00,0,0,0.2,0,0,0,0,0,0,0.00
1,2021-04-03,0,0,0.00,0,0,1.0,0,0,0,0,0,0,0.00
2,2021-04-06,0,0,0.00,0,0,1.0,2,0,0,0,0,0,0.75
3,2021-04-11,0,0,8.10,0,0,0.2,1,3,3,1,2,2,1.50
4,2021-04-18,0,0,5.79,0,0,1.1,1,0,0,0,1,1,1.50
5,2021-04-21,0,0,4.76,0,0,1.0,2,0,0,0,0,0,1.59
6,2021-04-24,0,0,4.05,0,0,1.0,1,0,0,0,0,1,1.50
7,2021-04-30,0,0,3.52,0,0,1.0,0,0,0,0,2,1,1.57
8,April,0,0,3.52,0,0,7.2,7,3,3,1,5,5,1.57
9,2021-05-04,0,0,7.88,0,0,0.1,3,4,4,1,0,0,1.88
10,2021-05-08,0,0,8.38,0,0,1.2,1,2,2,0,1,2,1.76
11,2021-05-12,0,0,7.59,0,0,1.0,0,0,0,0,0,1,1.59
12,2021-05-15,0,0,6.94,0,0,1.0,1,0,0,0,0,1,1.54
13,May,0,0,13.50,0,0,4.0,5,6,6,1,1,4,1.50
14,2021-07-10,0,0,6.59,0,0,2.0,2,1,1,0,1,3,1.54
15,July,0,0,4.50,0,0,2.0,2,1,1,0,1,3,1.50
