,date,W,L,ERA,GS,SV,IP,H,R,ER,HR,BB,SO,WHIP
0,2020-07-24,0,0,0.00,0,0,1.1,1,0,0,0,0,0,0.75
1,2020-07-25,0,0,0.00,0,0,1.0,1,0,0,0,2,1,1.71
2,2020-07-28,0,0,0.00,0,0,1.0,0,0,0,0,0,1,1.20
3,2020-07-29,0,0,0.00,0,0,1.0,0,0,0,0,0,1,0.92
4,July,0,0,0.00,0,0,4.1,2,0,0,0,2,3,0.92
5,2020-08-02,0,0,1.69,0,0,1.0,3,1,1,0,0,1,1.31
6,2020-08-03,0,0,1.42,0,0,1.0,1,0,0,0,0,1,1.26
7,2020-08-05,0,0,1.23,0,0,1.0,1,0,0,0,0,0,1.23
8,2020-08-07,0,0,1.08,0,0,1.0,2,0,0,0,0,1,1.32
9,2020-08-11,1,0,0.96,0,0,1.0,0,0,0,0,1,1,1.29
10,2020-08-15,0,0,3.48,0,0,1.0,4,3,3,1,0,1,1.55
11,2020-08-16,0,0,3.38,0,1,0.1,0,0,0,0,0,0,1.50
12,2020-08-20,0,0,2.84,0,0,2.0,0,0,0,0,0,2,1.26
13,2020-08-22,0,0,2.63,0,0,1.0,0,0,0,0,1,2,1.24
14,2020-08-24,0,0,2.40,0,0,1.1,1,0,0,0,0,1,1.20
15,2020-08-25,0,0,2.25,0,0,1.0,1,0,0,0,0,0,1.19
16,2020-08-29,0,0,3.78,0,0,0.2,3,3,3,0,1,2,1.38
17,August,1,0,5.11,0,1,12.1,16,7,7,1,3,12,1.54
18,2020-09-02,0,0,3.57,0,0,1.0,0,0,0,0,0,2,1.30
19,2020-09-04,0,1,5.50,0,0,0.1,4,4,4,2,0,0,1.50
20,2020-09-06,0,0,5.95,0,0,1.2,2,2,2,1,0,3,1.47
21,2020-09-07,0,1,6.41,0,0,0.0,2,1,1,0,0,0,1.58
22,2020-09-12,0,0,6.10,0,0,1.0,1,0,0,0,0,2,1.55
23,2020-09-13,0,1,6.75,0,0,0.2,1,2,2,1,1,0,1.59
24,2020-09-17,0,0,7.89,0,0,0.1,3,4,3,0,1,1,1.75
25,2020-09-21,0,0,8.06,0,0,0.2,1,1,1,1,1,1,1.79
26,2020-09-23,0,0,7.71,0,0,1.0,1,0,0,0,1,2,1.80
27,2020-09-25,0,0,7.50,0,0,0.2,0,0,0,0,0,1,1.75
28,September,0,3,15.95,0,0,7.1,15,14,13,5,4,12,2.59
