,date,W,L,ERA,GS,SV,IP,H,R,ER,HR,BB,SO,WHIP
0,2018-04-04,0,0,3.60,1,0,5.0,4,3,2,0,1,5,1.00
1,2018-04-10,0,1,4.66,1,0,4.2,5,4,3,0,6,4,1.66
2,2018-04-18,0,0,7.59,1,0,1.0,5,4,4,1,2,0,2.16
3,2018-04-20,0,0,7.50,0,0,1.1,3,1,1,1,0,3,2.17
4,2018-04-23,1,0,6.00,1,0,6.0,3,2,2,1,1,3,1.67
5,2018-04-28,1,0,4.32,1,0,7.0,4,0,0,0,3,3,1.48
6,April,2,1,4.32,5,0,25.0,24,14,12,3,13,18,1.48
7,2018-05-04,0,1,5.02,1,0,3.2,7,5,4,4,2,6,1.60
8,2018-05-11,0,1,6.23,1,0,1.2,3,5,5,1,4,3,1.75
9,2018-05-18,0,1,8.07,1,0,2.0,3,8,8,0,5,2,1.89
10,May,0,3,20.86,3,0,7.1,13,18,17,5,11,11,3.27
