,date,W,L,ERA,GS,SV,IP,H,R,ER,HR,BB,SO,WHIP
0,2021-04-06,0,0,2.25,1,0,4.0,5,1,1,0,2,4,1.75
1,2021-04-12,1,0,0.82,1,0,7.0,4,0,0,0,2,5,1.18
2,2021-04-17,0,1,3.38,1,0,5.0,7,5,5,3,0,4,1.25
3,2021-04-23,0,1,5.23,1,0,4.2,7,6,6,2,3,1,1.45
4,2021-04-29,0,1,5.06,1,0,6.0,4,3,3,0,3,6,1.39
5,April,1,3,5.06,5,0,26.2,27,15,15,5,10,20,1.39
6,2021-05-05,0,0,4.41,1,0,6.0,3,1,1,0,4,3,1.35
7,2021-05-12,1,0,4.19,1,0,6.0,3,2,2,0,2,4,1.27
8,2021-05-17,1,0,3.69,1,0,7.2,3,1,1,1,3,7,1.19
9,2021-05-23,0,0,3.42,1,0,6.1,3,1,1,0,1,6,1.12
10,2021-05-28,0,0,3.28,1,0,5.0,5,1,1,1,0,7,1.11
11,May,2,0,1.74,5,0,31.0,17,6,6,2,10,27,0.87
12,2021-06-03,0,1,3.34,1,0,7.0,5,3,3,3,0,6,1.07
13,2021-06-09,0,0,3.44,1,0,6.0,4,3,3,1,2,6,1.06
14,2021-06-15,1,0,3.49,1,0,6.2,7,3,3,0,1,3,1.07
15,2021-06-20,0,0,3.61,1,0,5.0,8,3,3,2,1,4,1.12
16,2021-06-26,1,0,3.46,1,0,6.0,6,1,1,0,2,5,1.13
17,June,2,1,3.82,5,0,30.2,30,13,13,6,6,24,1.17
18,2021-07-02,0,1,3.55,1,0,3.0,4,2,2,0,1,4,1.15
19,2021-07-07,0,0,3.59,1,0,4.0,4,2,2,2,0,2,1.14
20,2021-07-19,0,0,3.44,1,0,4.0,1,0,0,0,0,2,1.11
21,2021-07-24,0,0,3.63,1,0,4.2,6,4,4,1,1,6,1.13
22,2021-07-29,1,0,3.41,1,0,7.0,4,1,0,0,2,2,1.11
23,July,1,1,3.18,5,0,22.2,19,9,8,3,4,16,1.01
24,2021-08-04,0,1,3.57,1,0,5.0,7,4,4,3,1,3,1.13
25,2021-08-10,0,0,3.66,1,0,4.1,5,4,3,3,1,4,1.14
26,2021-08-17,0,0,3.69,1,0,4.0,4,2,2,0,4,4,1.17
27,2021-08-24,1,0,3.55,1,0,5.0,3,0,0,0,2,2,1.16
28,2021-08-30,0,1,3.59,1,0,6.0,5,3,3,1,1,4,1.15
29,August,1,2,4.44,5,0,24.1,24,13,12,7,9,17,1.36
30,2021-09-05,0,0,3.51,1,0,3.0,0,0,0,0,0,2,1.13
31,2021-09-11,0,1,3.66,1,0,2.0,3,3,3,0,1,2,1.14
32,2021-09-17,0,0,3.64,1,0,3.0,3,1,1,0,1,3,1.14
33,2021-09-24,0,0,3.63,1,0,3.0,2,1,1,0,0,3,1.13
34,2021-09-29,0,1,3.71,1,0,4.0,5,3,3,1,0,4,1.14
35,September,0,2,4.80,5,0,15.0,13,8,8,1,2,14,1.00
