,date,W,L,ERA,GS,SV,IP,H,R,ER,HR,BB,SO,WHIP
0,2020-07-26,0,0,0.00,0,0,0.1,0,0,0,0,2,0,6.00
1,2020-07-28,0,0,6.75,0,0,1.0,1,1,1,1,0,3,2.25
2,July,0,0,6.75,0,0,1.1,1,1,1,1,2,3,2.25
3,2020-08-02,0,0,3.00,0,0,1.2,1,0,0,0,1,1,1.67
4,2020-08-03,0,0,2.45,0,0,0.2,1,0,0,0,0,1,1.64
5,2020-08-13,0,0,1.93,0,0,1.0,1,0,0,0,0,0,1.50
6,2020-08-15,0,0,3.18,0,0,1.0,1,1,1,0,1,1,1.59
7,2020-08-16,0,0,2.70,0,0,1.0,1,0,0,0,0,0,1.50
8,2020-08-18,0,0,4.70,0,0,1.0,0,2,2,0,2,2,1.57
9,2020-08-22,0,0,4.32,0,0,0.2,0,0,0,0,1,1,1.56
10,2020-08-25,0,0,5.79,0,0,1.0,2,2,2,1,1,0,1.71
11,August,0,0,5.63,0,0,8.0,7,5,5,1,6,6,1.63
12,2020-09-08,0,0,5.23,0,0,1.0,1,0,0,0,0,0,1.65
13,2020-09-13,1,0,4.38,0,0,2.0,1,0,0,0,0,3,1.46
14,2020-09-16,0,0,3.60,0,0,2.2,0,0,0,0,0,5,1.20
15,2020-09-19,0,0,3.38,0,0,1.0,0,0,0,0,0,1,1.13
16,2020-09-20,0,1,3.71,0,0,1.0,2,3,1,0,1,1,1.24
17,2020-09-22,0,1,5.40,0,0,1.1,2,4,4,1,2,0,1.36
18,2020-09-26,0,0,5.12,0,0,1.0,1,0,0,0,1,2,1.40
19,September,1,2,4.50,0,0,10.0,7,7,5,1,4,12,1.10
