,date,W,L,ERA,IP,H,ER,HR,BB,SO,WHIP
0,2018-03-29,0,0,0.00,1.1,0,0,0,0,3,0.00
1,March,0,0,0.00,1.1,0,0,0,0,3,0.00
2,2018-04-01,0,0,0.00,2.0,1,0,0,0,4,0.30
3,2018-04-05,0,0,4.50,0.2,3,2,0,0,2,1.00
4,2018-04-06,0,0,3.60,1.0,1,0,0,1,2,1.20
5,2018-04-11,0,0,2.57,2.0,1,0,0,0,1,1.00
6,2018-04-13,0,0,2.45,0.1,0,0,0,0,1,0.95
7,2018-04-17,0,0,2.16,1.0,0,0,0,0,1,0.84
8,2018-04-19,1,0,1.80,1.2,0,0,0,0,2,0.70
9,2018-04-23,0,0,1.74,0.1,0,0,0,1,0,0.77
10,2018-04-25,1,0,2.25,1.2,3,1,0,1,2,1.00
11,2018-04-29,0,0,2.08,1.0,1,0,0,1,1,1.08
12,April,2,0,2.31,11.2,10,3,0,4,16,1.20
13,2018-05-01,0,0,1.93,1.0,0,0,0,0,1,1.00
14,2018-05-03,0,0,2.35,1.1,3,1,1,0,1,1.11
15,2018-05-05,0,0,2.08,2.0,0,0,0,0,4,0.98
16,2018-05-08,0,0,1.96,1.0,1,0,0,0,0,0.98
17,2018-05-09,0,0,2.70,1.2,2,2,1,1,2,1.05
18,2018-05-12,0,0,2.57,1.0,0,0,0,0,3,1.00
19,2018-05-13,0,0,2.45,1.0,0,0,0,0,1,0.95
20,2018-05-15,0,1,3.13,1.0,3,2,1,0,2,1.04
21,2018-05-19,0,0,3.00,1.0,1,0,0,0,2,1.04
22,2018-05-21,0,0,3.12,2.0,2,1,1,0,1,1.04
23,2018-05-25,1,0,3.00,1.0,2,0,0,0,0,1.07
24,May,1,1,3.86,14.0,14,6,4,1,17,1.07
25,2018-06-01,0,0,2.89,1.0,1,0,0,1,2,1.11
26,2018-06-02,0,0,2.79,1.0,0,0,0,1,0,1.10
27,2018-06-06,0,0,2.61,2.0,0,0,0,0,2,1.03
28,2018-06-08,1,0,2.53,1.0,2,0,0,0,2,1.06
29,2018-06-12,0,0,2.43,1.1,1,0,0,0,2,1.05
30,2018-06-14,0,0,2.36,1.0,1,0,0,0,1,1.05
31,2018-06-23,0,0,2.29,1.0,2,0,0,0,2,1.08
32,2018-06-24,0,0,2.17,2.0,0,0,0,1,4,1.04
33,2018-06-29,0,0,2.11,1.0,0,0,0,0,1,1.02
34,June,1,0,0.00,11.1,7,0,0,3,16,0.88
35,2018-07-02,0,0,2.01,2.0,0,0,0,0,1,0.97
36,2018-07-04,0,0,1.96,1.0,2,0,0,0,0,0.99
37,2018-07-08,1,0,1.91,1.0,0,0,0,0,1,0.97
38,2018-07-10,0,0,2.23,2.0,2,2,1,0,1,0.97
39,2018-07-15,0,1,2.74,1.2,3,3,1,1,2,1.02
40,2018-07-20,0,0,2.68,1.0,0,0,0,1,0,1.02
41,2018-07-23,0,0,2.63,1.0,1,0,0,0,1,1.02
42,2018-07-28,0,0,2.61,0.1,1,0,0,0,0,1.03
43,2018-07-29,0,0,2.74,1.0,2,1,1,0,1,1.05
44,July,1,1,4.91,11.0,11,6,3,2,7,1.18
45,2018-08-01,0,0,2.68,1.0,0,0,0,0,0,1.03
46,2018-08-02,0,0,2.82,0.2,3,1,0,0,1,1.08
47,2018-08-04,0,0,2.77,1.0,0,0,0,0,2,1.06
48,2018-08-07,0,0,2.75,0.1,0,0,0,0,0,1.05
49,2018-08-08,0,0,2.70,1.0,1,0,0,1,3,1.07
50,2018-08-10,0,0,2.98,1.0,3,2,0,0,1,1.10
51,2018-08-13,0,0,2.93,1.0,1,0,0,0,0,1.10
52,2018-08-15,0,0,2.84,1.2,0,0,0,0,1,1.07
53,2018-08-17,1,0,2.75,2.0,1,0,0,0,1,1.05
54,2018-08-21,0,0,2.70,1.0,1,0,0,2,2,1.08
55,2018-08-24,1,0,2.66,1.0,0,0,0,0,2,1.07
56,2018-08-26,0,0,2.63,0.2,3,0,0,0,1,1.10
57,2018-08-29,0,0,2.73,1.0,1,1,1,1,0,1.12
58,2018-08-30,0,0,2.66,1.2,1,0,0,0,3,1.10
59,August,2,0,2.40,15.0,15,4,1,4,17,1.27
60,2018-09-03,0,0,2.62,1.0,0,0,0,0,2,1.09
61,2018-09-09,0,0,2.54,2.0,0,0,0,0,3,1.05
62,2018-09-15,0,0,2.45,2.1,3,0,0,0,3,1.06
63,2018-09-18,1,0,2.42,1.0,0,0,0,0,0,1.05
64,2018-09-20,0,1,2.64,1.0,2,2,1,0,3,1.06
65,2018-09-22,0,0,2.60,1.0,1,0,0,1,1,1.07
66,2018-09-24,0,0,2.57,1.0,0,0,0,0,3,1.06
67,2018-09-26,0,0,2.53,1.0,1,0,0,0,2,1.06
68,2018-09-28,0,0,2.50,1.0,0,0,0,0,1,1.04
69,September,1,1,1.59,11.1,7,2,1,1,18,0.71
