,date,W,L,ERA,IP,H,ER,HR,BB,SO,WHIP
0,2020-07-27,0,0,4.50,2.0,1,1,1,0,0,0.50
1,2020-07-31,0,0,4.50,2.0,1,1,0,1,5,0.75
2,July,0,0,4.50,4.0,2,2,1,1,5,0.75
3,2020-08-07,0,0,2.84,2.1,0,0,0,1,5,0.63
4,2020-08-10,0,0,4.32,2.0,3,2,1,1,2,0.96
5,2020-08-12,0,0,3.86,1.0,1,0,0,0,0,0.96
6,2020-08-17,1,0,3.09,2.1,0,0,0,0,5,0.77
7,2020-08-25,0,0,2.77,1.1,0,0,0,0,1,0.69
8,2020-08-30,0,0,2.35,2.1,2,0,0,2,2,0.85
9,August,1,0,1.59,11.1,6,2,1,4,15,0.88
10,2020-09-03,0,0,2.04,2.1,0,0,0,1,1,0.79
11,2020-09-06,0,0,1.93,1.0,1,0,0,0,2,0.80
12,2020-09-09,0,0,2.25,1.1,2,1,1,1,2,0.90
13,2020-09-12,0,0,2.21,0.1,2,0,0,1,1,1.03
14,2020-09-17,0,0,1.99,2.1,0,0,0,0,3,0.93
15,2020-09-20,0,0,3.13,0.1,2,3,0,2,1,1.09
16,2020-09-22,0,0,3.00,1.0,0,0,0,0,3,1.04
17,2020-09-23,0,0,4.07,0.1,2,3,1,1,1,1.15
18,2020-09-27,0,0,3.96,0.2,0,0,0,1,0,1.16
19,September,0,0,6.52,9.2,9,7,2,7,14,1.66
