,date,W,L,ERA,IP,H,ER,HR,BB,SO,WHIP
0,2020-07-25,0,0,0.00,1.1,0,0,0,0,1,0.00
1,2020-07-27,0,0,0.00,0.1,0,0,0,0,0,0.00
2,2020-07-28,0,0,9.00,0.1,0,2,0,2,1,1.00
3,July,0,0,9.00,2.0,0,2,0,2,2,1.00
4,2020-08-01,0,0,5.40,1.1,0,0,0,0,2,0.60
5,2020-08-03,0,0,3.86,1.1,0,0,0,1,2,0.64
6,2020-08-06,0,0,2.84,1.2,2,0,0,0,1,0.79
7,2020-08-09,0,0,2.89,3.0,3,1,0,0,6,0.86
8,2020-08-14,0,0,6.30,0.2,5,4,1,0,0,1.30
9,2020-08-18,0,0,5.73,1.0,1,0,0,0,2,1.27
10,2020-08-20,0,0,5.25,1.0,1,0,0,2,1,1.42
11,2020-08-22,0,0,4.85,1.0,0,0,0,0,1,1.31
12,2020-08-23,1,0,4.50,1.0,0,0,0,0,1,1.21
13,2020-08-27,1,0,4.20,1.0,0,0,0,0,0,1.13
14,2020-08-29,0,0,4.50,1.0,1,1,1,0,1,1.13
15,2020-08-31,0,0,4.41,0.1,1,0,0,0,1,1.16
16,August,2,0,3.77,14.1,14,6,2,3,18,1.19
17,2020-09-01,0,0,4.15,1.0,2,0,0,0,0,1.21
18,2020-09-04,0,0,4.00,0.2,0,0,0,1,2,1.22
19,2020-09-06,0,0,3.79,1.0,0,0,0,1,1,1.21
20,2020-09-08,0,0,3.43,2.0,2,0,0,1,2,1.24
21,2020-09-11,0,0,3.57,1.2,1,1,0,1,3,1.24
22,2020-09-14,0,0,3.42,1.0,2,0,0,1,1,1.31
23,2020-09-16,0,0,3.24,1.1,0,0,0,0,3,1.24
24,2020-09-18,0,0,3.12,1.0,1,0,1,0,2,1.23
25,2020-09-19,0,0,3.04,0.2,0,0,0,1,1,1.24
26,2020-09-22,0,0,3.29,0.2,1,1,0,0,1,1.24
27,2020-09-23,0,0,3.18,1.0,0,0,0,1,2,1.24
28,2020-09-25,0,1,3.90,1.2,3,3,0,1,1,1.30
29,September,0,1,3.29,13.2,12,5,1,8,19,1.46
