,date,W,L,ERA,IP,H,ER,HR,BB,SO,WHIP
0,2021-04-03,0,0,2.25,4.0,5,1,1,3,5,2.00
1,2021-04-09,0,1,5.68,2.1,5,3,0,2,3,2.37
2,2021-04-14,0,0,6.10,4.0,6,3,2,2,4,2.23
3,2021-04-21,0,1,5.40,4.2,2,2,0,4,2,1.93
4,2021-04-27,1,0,4.15,6.2,6,1,0,2,5,1.71
5,April,1,2,4.15,21.2,24,10,3,13,19,1.71
6,2021-05-02,1,0,3.03,8.0,2,0,0,1,10,1.35
7,2021-05-08,0,0,3.06,5.2,6,2,0,3,6,1.39
8,2021-05-14,1,0,3.48,6.0,7,4,1,2,6,1.40
9,2021-05-19,1,0,2.86,9.0,0,0,0,1,9,1.17
10,2021-05-25,0,1,3.04,3.0,2,2,1,3,5,1.20
11,May,3,1,2.27,31.2,17,8,2,10,36,0.85
12,2021-08-30,0,0,3.61,4.0,5,5,1,2,6,1.24
13,August,0,0,11.25,4.0,5,5,1,2,6,1.75
14,2021-09-05,0,0,3.69,3.2,4,2,1,3,5,1.28
15,2021-09-11,0,0,4.02,4.0,5,4,1,2,6,1.31
16,2021-09-17,1,0,3.68,6.0,4,0,0,2,4,1.28
17,2021-09-22,0,0,3.82,4.1,8,3,0,0,4,1.31
18,2021-09-30,0,0,3.83,4.2,7,2,0,1,2,1.34
19,September,1,0,4.37,22.2,28,11,2,8,21,1.59
