,date,W,L,ERA,IP,H,ER,HR,BB,SO,WHIP
0,2021-04-02,0,0,9.00,2.0,3,2,1,0,2,1.50
1,2021-04-05,0,1,8.10,1.1,2,1,1,0,2,1.50
2,2021-04-11,1,0,4.05,3.1,1,0,0,1,3,1.05
3,2021-04-13,0,0,3.86,0.1,0,0,0,0,0,1.00
4,2021-04-15,0,0,2.70,3.0,3,0,0,0,2,1.00
5,2021-04-18,0,0,2.45,1.0,0,0,0,0,2,0.91
6,2021-04-20,0,0,3.00,1.0,2,1,1,0,2,1.00
7,2021-04-21,0,0,3.29,1.2,2,1,0,1,2,1.10
8,2021-04-25,0,0,2.87,2.0,0,0,0,2,3,1.09
9,2021-04-27,0,0,2.76,0.2,0,0,0,0,1,1.04
10,April,1,1,2.76,16.1,13,5,3,4,19,1.04
11,2021-05-01,0,0,2.60,1.0,0,0,0,0,0,0.98
12,2021-05-03,0,0,2.33,2.0,2,0,0,0,1,0.98
13,2021-05-05,1,0,2.29,0.1,0,0,0,0,0,0.97
14,2021-05-07,0,0,2.18,1.0,0,0,0,0,3,0.92
15,2021-05-11,0,0,1.99,2.0,1,0,0,0,1,0.88
16,2021-05-14,0,0,1.88,1.1,2,0,0,0,1,0.92
17,2021-05-16,0,0,1.82,0.2,1,0,0,0,1,0.93
18,2021-05-19,0,0,1.75,1.0,0,0,0,0,3,0.90
19,2021-05-22,1,0,1.69,1.0,0,0,0,0,2,0.86
20,2021-05-25,0,0,1.88,2.0,1,1,1,0,4,0.84
21,2021-05-27,0,0,2.73,1.0,3,3,1,1,1,0.94
22,2021-05-29,0,0,2.93,1.0,2,1,0,0,1,0.98
23,May,2,0,3.14,14.1,12,5,2,1,18,0.91
24,2021-06-01,0,0,2.76,2.0,2,0,0,0,2,0.98
25,2021-06-03,0,0,2.67,1.0,0,0,0,0,1,0.95
26,2021-06-06,0,0,3.28,2.0,4,3,1,0,1,1.01
27,2021-06-11,0,0,3.11,2.0,1,0,0,0,2,0.98
28,2021-06-15,0,0,3.03,1.0,0,0,0,0,1,0.96
29,2021-06-16,0,0,2.95,1.0,0,0,0,0,0,0.93
30,2021-06-18,0,0,2.88,1.0,0,0,0,1,0,0.93
31,2021-06-20,0,0,2.81,1.0,2,0,0,0,0,0.96
32,2021-06-21,0,0,2.95,1.0,1,1,1,0,2,0.96
33,2021-06-23,0,0,2.89,1.0,0,0,0,0,1,0.94
34,2021-06-25,0,0,2.82,1.0,2,0,0,0,1,0.96
35,2021-06-29,0,0,2.89,2.0,3,1,0,1,1,1.01
36,June,0,0,2.81,16.0,15,5,2,2,12,1.06
37,2021-07-02,0,0,2.83,1.0,0,0,0,0,0,0.99
38,2021-07-04,0,0,2.96,1.0,2,1,1,0,1,1.01
39,2021-07-05,0,0,2.90,1.0,1,0,0,0,2,1.01
40,2021-07-08,0,0,2.84,1.0,0,0,0,0,0,0.99
41,2021-07-10,0,0,2.79,1.0,1,0,0,0,0,0.99
42,2021-07-11,0,1,2.89,1.1,2,1,1,0,0,1.00
43,2021-07-17,1,0,2.83,1.0,1,0,0,0,0,1.00
44,2021-07-18,0,0,2.78,1.0,1,0,0,1,0,1.02
45,2021-07-24,0,0,2.68,2.0,1,0,0,0,4,1.00
46,2021-07-28,0,0,2.59,2.0,1,0,0,0,4,0.98
47,2021-07-31,0,0,2.55,1.0,1,0,0,0,1,0.98
48,July,1,1,1.35,13.1,11,2,2,1,12,0.90
49,2021-08-01,1,0,2.51,1.0,1,0,0,0,0,0.98
50,2021-08-03,0,0,2.47,1.0,0,0,0,0,2,0.97
51,2021-08-06,0,0,2.71,1.0,4,2,0,1,0,1.03
52,2021-08-10,0,0,3.18,2.0,6,4,0,0,2,1.09
53,2021-08-12,0,0,3.17,0.1,1,0,0,0,1,1.10
54,2021-08-13,0,1,3.31,0.0,1,1,1,0,0,1.12
55,2021-08-15,0,0,3.21,2.0,2,0,0,0,1,1.11
56,2021-08-18,0,0,3.16,1.0,0,0,0,0,0,1.10
57,2021-08-22,0,0,3.07,2.0,2,0,0,2,1,1.12
58,2021-08-25,0,0,3.03,1.0,0,0,0,0,0,1.11
59,2021-08-26,0,0,2.95,2.0,0,0,0,1,2,1.09
60,2021-08-30,1,0,2.91,1.0,1,0,0,1,0,1.10
61,August,2,1,4.40,14.1,18,7,1,5,9,1.60
62,2021-09-03,0,0,2.87,1.0,0,0,0,0,1,1.09
63,2021-09-05,0,0,2.83,1.0,0,0,0,0,1,1.07
64,2021-09-07,0,0,2.82,0.1,0,0,0,0,1,1.07
65,2021-09-11,0,0,2.88,1.1,1,1,1,0,0,1.06
66,2021-09-13,0,0,2.85,1.0,0,0,0,0,0,1.05
67,2021-09-15,0,0,3.04,1.0,2,2,2,0,0,1.06
68,2021-09-19,0,0,2.90,3.2,2,0,0,0,3,1.04
69,2021-09-24,0,0,2.94,2.0,2,1,0,0,4,1.04
70,September,0,0,3.18,11.1,7,4,3,0,10,0.62
71,2021-10-01,0,0,2.98,2.0,1,1,0,0,2,1.03
72,2021-10-03,0,0,3.06,0.2,2,1,0,0,1,1.04
73,October,0,0,6.75,2.2,3,2,0,0,3,1.13
