,date,W,L,ERA,GS,SV,IP,H,R,ER,HR,BB,SO,WHIP
0,2018-04-05,0,0,2.70,0,0,3.1,1,1,1,0,2,6,0.90
1,2018-04-11,0,1,7.11,0,0,3.0,7,4,4,0,1,3,1.74
2,2018-04-20,0,0,4.91,1,0,4.2,3,1,1,1,3,5,1.55
3,2018-04-25,0,0,4.85,0,0,2.0,2,1,1,0,1,2,1.54
4,2018-04-29,0,1,5.87,1,0,2.1,3,3,3,2,2,2,1.63
5,April,0,2,5.87,2,0,15.1,16,10,10,3,9,18,1.63
6,2018-09-01,0,1,5.49,1,0,4.1,1,2,2,1,1,7,1.37
7,2018-09-07,0,0,5.47,1,0,5.0,4,3,3,2,1,7,1.30
8,2018-09-12,0,1,6.14,1,0,4.2,8,5,5,0,1,3,1.40
9,2018-09-18,0,1,5.71,1,0,5.1,5,2,2,0,3,5,1.41
10,2018-09-23,0,0,5.22,1,0,5.0,6,1,1,1,2,3,1.44
11,2018-09-29,0,0,5.68,1,0,4.2,6,5,5,1,2,8,1.47
12,September,0,3,5.59,6,0,29.0,30,18,18,5,10,33,1.38
