,date,W,L,ERA,IP,H,ER,HR,BB,SO,WHIP
0,2021-04-01,0,0,0.00,1.1,1,0,0,1,1,1.50
1,2021-04-04,0,1,12.00,1.2,4,4,1,0,1,2.00
2,2021-04-11,0,0,10.38,1.1,2,1,0,0,1,1.85
3,2021-04-14,0,0,11.57,0.1,2,1,0,1,0,2.36
4,2021-04-17,0,0,9.53,1.0,1,0,0,0,1,2.12
5,2021-04-22,0,0,9.00,0.1,0,0,0,0,0,2.00
6,2021-04-25,0,0,8.53,0.1,0,0,0,0,1,1.89
7,2021-04-26,0,0,7.36,1.0,0,0,0,0,1,1.64
8,2021-04-30,0,0,6.48,1.0,2,0,0,0,0,1.68
9,April,0,1,6.48,8.1,12,6,1,2,6,1.68
10,2021-05-04,0,0,6.52,1.1,1,1,0,2,1,1.76
11,2021-05-05,0,0,6.97,0.2,1,1,0,0,1,1.74
12,2021-05-07,0,0,7.30,2.0,2,2,1,2,3,1.78
13,2021-05-12,0,0,6.75,1.0,0,0,0,0,0,1.65
14,2021-05-15,0,0,6.14,1.1,1,0,0,0,2,1.57
15,2021-05-19,0,0,5.74,1.0,0,0,0,0,2,1.47
16,2021-05-24,0,0,5.63,0.1,1,0,0,0,0,1.50
17,2021-05-27,0,0,5.29,1.0,0,0,0,1,1,1.47
18,2021-05-29,0,0,5.00,1.0,0,0,0,0,2,1.39
19,2021-05-31,0,0,5.68,1.0,1,2,1,1,2,1.42
20,May,0,0,5.06,10.2,7,6,2,6,14,1.22
21,2021-06-03,0,0,5.85,1.0,1,1,1,0,3,1.40
22,2021-06-06,0,0,5.57,1.0,0,0,0,0,1,1.33
23,2021-06-08,0,0,5.32,1.0,1,0,0,0,1,1.32
24,2021-06-09,0,1,6.65,1.0,3,4,0,2,0,1.48
25,2021-06-12,0,0,6.29,1.1,2,0,0,2,0,1.56
26,2021-06-14,0,0,6.04,1.0,1,0,0,0,2,1.54
27,2021-06-18,0,0,6.84,1.0,4,3,0,0,2,1.63
28,2021-06-22,0,0,6.59,1.0,1,0,0,0,0,1.61
29,2021-06-28,0,0,6.67,1.0,3,1,0,0,2,1.66
30,June,0,1,8.68,9.1,16,9,1,4,11,2.14
31,2021-07-02,0,0,6.44,1.0,0,0,0,1,0,1.64
32,2021-07-04,0,0,6.37,0.1,0,0,0,0,0,1.62
33,2021-07-06,0,1,6.90,0.1,2,2,0,0,1,1.67
34,2021-07-10,0,0,6.75,0.2,1,0,0,0,2,1.66
35,2021-07-11,0,0,6.89,0.2,0,1,0,1,0,1.66
36,2021-07-17,1,0,6.48,2.0,0,0,0,0,2,1.56
37,2021-07-19,0,0,6.29,1.0,0,0,0,0,1,1.51
38,2021-07-23,0,0,6.11,1.0,0,0,0,1,3,1.50
39,2021-07-24,0,0,6.06,0.1,0,0,0,0,0,1.49
40,2021-07-27,0,0,5.89,1.0,0,0,0,0,0,1.45
41,2021-07-31,0,0,5.79,0.2,0,0,0,0,1,1.42
42,July,1,1,3.00,9.0,3,3,0,3,10,0.67
43,2021-08-02,0,0,5.63,1.0,0,0,0,1,2,1.41
44,2021-08-03,0,0,6.34,0.0,2,3,0,1,0,1.49
45,2021-08-07,0,0,6.18,1.0,0,0,0,0,2,1.45
46,2021-08-08,0,0,6.47,1.0,1,2,1,2,0,1.49
47,2021-08-12,0,0,6.59,2.0,3,2,2,1,2,1.51
48,2021-08-18,0,0,6.44,1.0,0,0,0,1,2,1.50
49,2021-08-20,0,0,6.15,2.0,1,0,0,2,1,1.50
50,2021-08-26,0,0,6.02,1.0,0,0,0,1,2,1.49
51,2021-08-27,0,0,5.89,1.0,0,0,0,1,0,1.48
52,August,0,0,6.30,10.0,7,7,3,10,11,1.70
53,2021-09-01,1,0,5.77,1.0,0,0,0,1,2,1.47
54,2021-09-03,0,0,6.12,1.2,1,3,0,2,0,1.48
55,2021-09-06,0,0,6.18,1.0,2,1,1,0,0,1.49
56,2021-09-15,0,0,6.14,0.1,2,0,0,0,0,1.52
57,2021-09-22,0,0,6.00,2.2,3,1,0,0,4,1.50
58,2021-09-28,0,0,5.89,1.0,0,0,0,0,0,1.47
59,2021-09-30,0,0,5.79,1.0,0,0,0,0,0,1.45
60,September,1,0,5.19,8.2,8,5,1,3,6,1.27
61,2021-10-03,0,0,6.16,1.0,2,3,1,2,0,1.49
62,October,0,0,27.00,1.0,2,3,1,2,0,4.00
