,date,W,L,ERA,GS,SV,IP,H,R,ER,HR,BB,SO,WHIP
0,2019-03-29,0,1,6.75,1,0,4.0,4,3,3,1,2,5,1.50
1,March,0,1,6.75,1,0,4.0,4,3,3,1,2,5,1.50
2,2019-04-03,0,0,5.00,1,0,5.0,3,2,2,1,4,7,1.44
3,2019-04-09,1,0,3.38,1,0,7.0,5,1,1,1,2,9,1.25
4,2019-04-14,0,1,4.09,1,0,6.0,4,4,4,1,4,6,1.27
5,2019-04-20,0,1,4.33,1,0,5.0,4,3,3,2,1,7,1.22
6,2019-04-27,0,1,5.34,1,0,5.0,6,6,6,1,3,6,1.31
7,April,1,3,5.14,5,0,28.0,22,16,16,6,14,35,1.29
8,2019-05-09,0,0,6.75,1,0,2.2,7,7,7,3,4,2,1.53
9,2019-05-14,0,0,6.56,0,0,1.0,0,0,0,0,2,1,1.54
10,2019-05-17,0,0,7.36,0,0,1.0,3,4,4,0,1,0,1.61
11,2019-05-20,0,0,7.17,0,0,1.0,0,0,0,0,1,0,1.59
12,2019-05-22,0,0,7.30,0,0,3.0,3,3,3,1,2,3,1.60
13,2019-05-24,0,0,6.80,0,0,3.0,4,4,0,1,0,3,1.58
14,2019-05-28,0,0,6.90,0,0,2.0,2,2,2,1,1,1,1.58
15,2019-05-31,0,0,6.75,0,0,1.0,0,0,0,0,1,2,1.56
16,May,0,0,9.82,1,0,14.2,19,20,16,6,12,12,2.11
17,2019-06-04,0,0,6.61,0,0,1.0,2,0,0,0,0,1,1.57
18,2019-06-05,0,0,6.52,0,0,2.0,2,1,1,1,0,2,1.55
19,2019-06-08,0,0,6.52,0,0,0.0,0,0,0,0,1,0,1.57
20,2019-06-16,0,0,6.45,0,0,2.0,3,1,1,1,0,3,1.57
21,2019-06-18,0,0,6.71,0,0,0.2,2,2,2,0,1,1,1.61
22,2019-06-20,0,0,6.63,0,0,2.0,3,1,1,0,1,1,1.62
23,2019-06-24,0,0,6.28,0,0,3.0,0,0,0,0,1,1,1.55
24,2019-06-26,0,0,6.17,0,0,1.0,1,0,0,0,0,1,1.54
25,2019-06-29,0,0,6.07,0,0,1.0,0,0,0,0,0,0,1.52
26,June,0,0,3.55,0,0,12.2,13,5,5,2,4,10,1.34
27,2019-07-01,0,0,5.97,0,0,1.0,0,0,0,0,0,1,1.49
28,2019-07-02,0,0,6.02,0,0,1.0,2,1,1,0,0,0,1.50
29,2019-07-05,0,0,5.83,0,0,2.0,1,0,0,0,1,3,1.48
30,2019-07-13,0,0,5.74,0,0,1.0,0,0,0,0,1,0,1.48
31,2019-07-14,0,0,5.65,0,0,1.0,1,0,0,0,1,2,1.48
32,2019-07-17,1,0,5.51,0,0,1.2,0,0,0,0,0,1,1.45
33,2019-07-18,0,0,5.45,0,0,0.2,2,0,0,0,0,1,1.46
34,2019-07-20,0,0,5.90,0,0,1.0,4,4,4,2,0,1,1.50
35,2019-07-27,0,0,5.87,0,0,0.1,0,0,0,0,0,0,1.49
36,2019-07-28,0,0,5.79,0,0,1.0,0,0,0,0,0,1,1.47
37,July,1,0,4.22,0,0,10.2,10,5,5,2,3,10,1.22
38,2019-08-01,0,0,5.83,0,0,1.0,2,1,1,1,0,0,1.48
39,2019-08-03,0,0,5.80,0,0,0.1,0,0,0,0,0,0,1.47
40,2019-08-04,0,0,5.72,0,0,1.0,1,0,0,0,0,2,1.47
41,2019-08-06,0,0,5.57,0,0,2.0,0,0,0,0,1,0,1.44
42,2019-08-09,0,0,5.50,0,0,1.0,0,0,0,0,0,1,1.42
43,2019-08-13,0,0,5.47,0,0,0.1,0,0,0,0,0,0,1.41
44,2019-08-15,0,0,5.59,0,0,0.0,1,1,1,1,0,0,1.43
45,2019-08-18,0,0,5.52,0,0,1.0,0,0,0,0,0,1,1.41
46,2019-08-21,0,0,5.70,0,0,0.2,3,2,2,0,1,1,1.45
47,2019-08-23,0,0,5.74,0,0,1.0,1,1,1,0,1,2,1.46
48,August,0,0,5.40,0,0,8.1,8,5,5,2,3,7,1.32
49,2019-09-05,0,0,5.67,0,0,1.0,0,0,0,0,1,1,1.45
50,2019-09-07,0,0,5.67,0,0,0.0,0,0,0,0,1,0,1.46
51,2019-09-09,0,0,5.60,0,0,1.0,1,0,0,0,0,0,1.46
52,2019-09-14,0,0,5.56,0,0,0.2,0,0,0,0,0,1,1.44
53,2019-09-18,0,0,5.53,0,0,0.1,0,0,0,0,0,0,1.44
54,2019-09-20,0,0,5.51,0,0,0.1,0,0,0,0,1,1,1.44
55,2019-09-24,0,0,5.47,0,0,0.2,0,0,0,0,0,0,1.43
56,2019-09-29,0,1,6.08,1,0,2.0,5,7,7,1,4,0,1.51
57,September,0,1,10.50,1,0,6.0,6,7,7,1,7,3,2.17
