,date,W,L,ERA,GS,SV,IP,H,R,ER,HR,BB,SO,WHIP
0,2020-07-25,0,0,0.00,0,0,1.0,1,0,0,0,1,1,2.00
1,2020-07-27,0,0,3.86,0,0,1.1,1,3,1,1,1,3,1.71
2,2020-07-29,0,0,2.70,0,0,1.0,0,0,0,0,0,1,1.20
3,July,0,0,2.70,0,0,3.1,2,3,1,1,2,5,1.20
4,2020-08-04,0,1,2.08,0,0,1.0,1,1,0,0,1,3,1.38
5,2020-08-09,0,0,1.69,0,0,1.0,0,0,0,0,0,2,1.13
6,2020-08-11,1,0,1.42,0,0,1.0,0,0,0,0,1,2,1.11
7,2020-08-14,0,0,1.17,0,0,1.1,1,0,0,0,0,3,1.04
8,2020-08-16,0,0,1.04,0,0,1.0,0,0,0,0,0,2,0.92
9,2020-08-18,0,0,0.93,0,0,1.0,0,0,0,0,1,3,0.93
10,2020-08-24,0,0,0.84,0,0,1.0,0,0,0,0,0,3,0.84
11,2020-08-25,0,0,0.77,0,0,1.0,0,0,0,0,0,2,0.77
12,2020-08-29,1,0,0.73,0,0,0.2,0,0,0,0,0,0,0.73
13,2020-08-31,1,0,0.64,0,0,1.2,0,0,0,0,1,4,0.71
14,August,3,1,0.00,0,0,10.2,2,1,0,0,4,24,0.56
15,2020-09-02,0,0,0.60,0,0,1.0,0,0,0,0,0,2,0.67
16,2020-09-05,0,0,0.53,0,0,2.0,0,0,0,0,0,4,0.59
17,2020-09-11,0,0,0.50,0,0,1.0,1,0,0,0,0,2,0.61
18,2020-09-12,0,0,0.47,0,0,1.0,0,0,0,0,1,2,0.63
19,2020-09-14,0,0,0.45,0,0,1.0,1,0,0,0,1,2,0.70
20,2020-09-16,0,0,0.43,0,0,1.0,0,0,0,0,0,2,0.67
21,2020-09-19,0,0,0.39,0,0,2.0,0,0,0,0,0,4,0.61
22,2020-09-22,0,0,0.36,0,0,2.0,0,0,0,0,1,5,0.60
23,2020-09-25,1,0,0.33,0,0,2.0,2,0,0,0,0,1,0.63
24,September,1,0,0.00,0,0,13.0,4,0,0,0,3,24,0.54
