,date,W,L,ERA,IP,H,ER,HR,BB,SO,WHIP
0,2018-06-06,0,0,0.00,1.0,0,0,0,0,2,0.00
1,2018-06-09,0,0,3.38,1.2,2,1,0,2,2,1.50
2,2018-06-11,0,0,2.45,1.0,1,0,0,0,2,1.36
3,2018-06-13,1,0,1.59,2.0,1,0,0,0,2,1.06
4,2018-06-17,0,0,1.35,1.0,1,0,0,0,2,1.05
5,2018-06-18,0,0,1.13,1.1,0,0,0,0,0,0.88
6,2018-06-22,0,0,0.93,1.2,0,0,0,1,2,0.83
7,2018-06-24,0,0,1.74,0.2,2,1,0,0,0,0.97
8,2018-06-26,0,0,1.46,2.0,0,0,0,1,1,0.89
9,2018-06-29,0,0,1.88,2.0,1,1,1,0,2,0.84
10,June,1,0,1.88,14.1,8,3,1,4,15,0.84
11,2018-07-01,0,0,1.80,0.2,0,0,0,0,1,0.80
12,2018-07-02,0,0,1.69,1.0,1,0,0,0,3,0.81
13,2018-07-06,0,0,1.50,2.0,1,0,0,0,2,0.78
14,2018-07-07,0,0,1.47,0.1,0,0,0,0,0,0.76
15,2018-07-09,0,0,1.89,0.2,1,1,0,1,0,0.84
16,2018-07-11,0,0,1.80,1.0,1,0,0,0,0,0.85
17,2018-07-14,0,0,1.74,0.2,1,0,0,0,1,0.87
18,2018-07-15,0,0,2.57,0.1,1,2,0,2,1,1.00
19,2018-07-20,0,1,3.38,0.1,0,2,0,2,1,1.08
20,2018-07-23,0,0,4.09,0.2,1,2,0,2,0,1.18
21,2018-07-25,1,0,3.75,2.0,2,0,0,0,1,1.17
22,2018-07-29,0,0,4.32,1.0,2,2,1,0,1,1.20
23,2018-07-31,0,0,4.15,1.0,0,0,0,2,2,1.23
24,July,1,1,6.94,11.2,11,9,1,9,13,1.71
25,2018-08-02,0,0,4.00,1.0,0,0,0,0,2,1.19
26,2018-08-05,0,1,4.34,2.0,2,2,1,0,3,1.17
27,2018-08-08,0,0,4.20,1.0,0,0,0,0,1,1.13
28,2018-08-11,1,0,3.86,2.2,1,0,0,1,2,1.10
29,2018-08-15,0,0,3.74,1.0,0,0,0,2,0,1.13
30,2018-08-17,0,0,3.63,1.0,0,0,0,0,1,1.10
31,2018-08-19,0,0,3.47,1.2,1,0,0,0,0,1.07
32,2018-08-24,0,0,3.32,1.2,2,0,0,0,4,1.08
33,2018-08-26,0,0,3.23,1.0,0,0,0,0,0,1.05
34,2018-08-29,0,0,3.73,2.0,3,3,1,0,2,1.07
35,August,1,1,3.00,15.0,9,5,2,3,15,0.80
36,2018-09-02,0,0,3.64,1.0,1,0,0,0,1,1.07
37,2018-09-04,0,0,3.48,2.0,0,0,0,0,3,1.02
38,2018-09-08,0,0,3.40,1.0,1,0,0,1,1,1.04
39,2018-09-10,0,0,3.45,2.0,1,1,0,1,1,1.04
40,2018-09-14,0,0,3.31,2.0,0,0,0,0,4,1.00
41,2018-09-16,0,0,3.24,1.0,0,0,0,0,2,0.98
42,2018-09-19,0,0,3.14,1.2,1,0,0,0,2,0.97
43,2018-09-21,0,0,3.25,1.0,1,1,1,0,1,0.97
44,2018-09-24,0,0,3.13,2.0,2,0,0,0,3,0.97
45,2018-09-29,1,0,3.18,2.0,1,1,1,0,4,0.95
46,September,1,0,1.72,15.2,8,3,2,2,22,0.64
