,date,W,L,ERA,IP,H,ER,HR,BB,SO,WHIP
0,2019-04-01,1,0,0.00,5.0,1,0,0,5,7,1.20
1,2019-04-07,1,0,1.64,6.0,2,2,0,2,3,0.91
2,2019-04-13,1,0,1.38,2.0,0,0,0,0,4,0.77
3,2019-04-18,0,1,2.37,6.0,6,3,2,0,9,0.84
4,2019-04-23,1,0,1.75,6.2,4,0,0,1,5,0.82
5,2019-04-28,1,0,2.56,6.0,5,4,0,1,4,0.85
6,April,5,1,2.56,31.2,18,9,2,9,32,0.85
7,2019-05-05,1,0,2.35,6.2,4,1,0,3,7,0.89
8,2019-05-10,1,0,2.70,5.0,5,3,2,2,5,0.95
9,2019-05-15,1,0,2.50,7.0,6,1,0,1,8,0.95
10,2019-05-21,1,0,2.60,5.0,5,2,1,1,5,0.98
11,2019-05-26,0,0,3.43,5.0,9,7,4,0,6,1.04
12,May,4,0,4.40,28.2,29,14,7,7,31,1.26
13,2019-06-01,0,0,3.66,3.2,6,3,1,2,8,1.11
14,2019-06-07,0,1,3.86,6.0,6,4,2,1,6,1.11
15,June,0,1,6.52,9.2,12,7,3,3,14,1.55
16,2019-07-03,1,0,3.67,6.0,5,1,1,0,6,1.09
17,2019-07-12,1,0,3.40,6.0,3,0,0,0,7,1.05
18,2019-07-18,1,0,3.38,6.0,4,2,2,2,5,1.05
19,2019-07-23,0,0,4.03,3.2,9,8,3,2,3,1.12
20,2019-07-28,1,0,4.08,5.1,4,3,1,1,9,1.11
21,July,4,0,4.67,27.0,25,14,7,5,30,1.11
22,2019-08-03,1,0,3.98,7.0,5,2,2,0,7,1.09
23,2019-08-08,1,0,4.05,5.0,8,3,2,1,3,1.12
24,2019-08-13,1,0,3.96,7.0,5,2,2,1,7,1.10
25,2019-08-20,0,1,4.15,5.1,8,5,2,2,7,1.14
26,2019-08-25,1,0,4.03,6.0,5,1,1,2,5,1.14
27,2019-08-31,0,0,4.01,5.0,4,2,1,3,5,1.15
28,August,4,1,3.82,35.1,35,15,10,9,34,1.25
29,2019-09-06,0,1,4.21,4.1,3,5,1,4,5,1.16
30,2019-09-12,1,0,4.09,4.0,2,0,0,0,5,1.14
31,2019-09-18,0,0,4.03,2.1,1,0,0,2,2,1.15
32,September,1,1,4.22,10.2,6,5,1,6,12,1.13
