,date,W,L,ERA,GS,SV,IP,H,R,ER,HR,BB,SO,WHIP
0,2021-04-01,0,0,0.00,0,0,1.0,1,0,0,0,0,3,1.00
1,2021-04-05,0,0,0.00,0,0,1.0,0,0,0,0,0,0,0.50
2,2021-04-07,0,0,0.00,0,0,1.0,1,0,0,0,0,1,0.67
3,2021-04-10,0,0,0.00,0,0,1.0,1,0,0,0,0,3,0.75
4,2021-04-16,0,0,0.00,0,0,0.2,1,0,0,0,0,1,0.86
5,2021-04-19,0,0,1.59,0,0,1.0,1,1,1,1,1,2,1.06
6,2021-04-21,0,0,1.35,0,0,1.0,1,0,0,0,2,3,1.35
7,2021-04-23,0,0,1.17,0,0,1.0,0,0,0,0,0,1,1.17
8,2021-04-25,0,0,1.04,0,0,1.0,1,0,0,0,1,3,1.27
9,2021-04-28,0,0,0.93,0,0,1.0,0,0,0,0,0,1,1.14
10,2021-04-30,0,0,1.69,0,0,1.0,1,1,1,0,2,0,1.31
11,April,0,0,1.69,0,0,10.2,8,2,2,1,6,18,1.31
12,2021-05-03,0,0,1.54,0,0,1.0,0,0,0,0,0,2,1.20
13,2021-05-04,0,0,1.42,0,0,1.0,0,0,0,0,0,0,1.11
14,2021-05-09,0,0,1.98,0,0,1.0,1,1,1,0,1,0,1.17
15,May,0,0,3.00,0,0,3.0,1,1,1,0,1,2,0.67
16,2021-06-29,0,0,1.84,0,0,1.0,0,0,0,0,1,1,1.16
17,June,0,0,0.00,0,0,1.0,0,0,0,0,1,1,1.00
18,2021-07-01,0,0,1.72,0,0,1.0,2,0,0,0,0,0,1.21
19,2021-07-04,0,0,1.69,0,0,0.1,0,0,0,0,0,0,1.19
20,2021-07-06,0,0,1.59,0,0,1.0,1,0,0,0,1,1,1.24
21,2021-07-18,0,0,1.50,0,0,1.0,0,0,0,0,0,2,1.17
22,2021-07-21,0,0,1.89,0,0,1.0,2,2,1,0,0,0,1.21
23,2021-07-23,0,0,1.80,0,0,1.0,0,0,0,0,1,1,1.20
24,2021-07-27,0,0,2.14,0,0,1.0,1,1,1,1,0,1,1.19
25,2021-07-29,0,0,2.05,0,0,1.0,1,0,0,0,0,2,1.18
26,July,0,0,2.45,0,0,7.1,7,3,2,1,2,7,1.23
27,2021-08-01,0,0,1.96,0,0,1.0,1,0,0,0,0,2,1.17
28,2021-08-04,0,0,1.88,0,0,1.0,0,0,0,0,0,0,1.13
29,2021-08-07,1,0,1.80,0,0,1.0,1,0,0,0,0,0,1.12
30,2021-08-10,0,0,1.75,0,0,0.2,1,0,0,0,0,0,1.13
31,August,1,0,0.00,0,0,3.2,3,0,0,0,0,2,0.82
