,date,W,L,ERA,IP,H,ER,HR,BB,SO,WHIP
0,2020-07-24,0,0,0.00,1.0,0,0,0,1,2,1.00
1,2020-07-25,0,0,4.50,1.0,1,1,1,0,2,1.00
2,2020-07-30,0,0,7.71,0.1,1,1,0,2,1,2.14
3,July,0,0,7.71,2.1,2,2,1,3,5,2.14
4,2020-08-02,0,0,5.40,1.0,0,0,0,1,1,1.80
5,2020-08-04,0,0,4.15,1.0,0,0,0,0,2,1.38
6,2020-08-07,0,0,3.38,1.0,0,0,0,0,2,1.13
7,2020-08-09,0,0,2.84,1.0,2,0,0,0,3,1.26
8,2020-08-11,0,0,2.45,1.0,1,0,0,0,2,1.23
9,2020-08-13,0,0,2.16,1.0,1,0,0,0,2,1.20
10,2020-08-18,0,0,2.89,1.0,3,1,0,0,3,1.39
11,2020-08-19,1,0,2.53,1.1,0,0,0,1,4,1.31
12,2020-08-26,0,0,2.45,0.1,1,0,0,2,1,1.55
13,2020-08-28,0,0,2.25,1.0,0,0,0,0,3,1.42
14,2020-08-30,0,1,2.77,1.0,2,1,1,1,0,1.54
15,2020-08-31,0,0,2.57,1.0,1,0,0,0,2,1.50
16,August,1,1,1.54,11.2,11,2,1,5,25,1.37
17,2020-09-03,1,0,2.25,2.0,0,0,0,1,4,1.38
18,2020-09-05,0,0,2.12,1.0,0,0,0,2,3,1.41
19,2020-09-07,0,0,2.00,1.0,0,0,0,0,1,1.33
20,2020-09-09,0,0,1.89,1.0,1,0,0,0,1,1.32
21,2020-09-15,0,0,1.80,1.0,0,0,0,0,3,1.25
22,2020-09-16,0,0,1.71,1.0,1,0,0,0,3,1.24
23,2020-09-17,0,0,1.64,1.0,0,0,0,2,2,1.27
24,2020-09-21,0,0,1.57,1.0,0,0,0,1,0,1.26
25,2020-09-22,0,0,1.50,1.0,1,0,0,0,1,1.25
26,2020-09-24,0,0,1.80,1.0,2,1,0,0,1,1.28
27,2020-09-26,0,0,1.75,0.2,0,0,0,0,1,1.25
28,September,1,0,0.77,11.2,5,1,0,6,20,0.94
