,date,W,L,ERA,GS,SV,IP,H,R,ER,HR,BB,SO,WHIP
0,2018-08-21,1,0,0.00,0,0,4.1,2,1,0,0,1,4,0.69
1,2018-08-26,1,0,0.96,1,0,5.0,2,1,1,0,3,3,0.86
2,2018-08-31,0,1,1.26,1,0,5.0,2,1,1,0,3,3,0.91
3,August,2,1,1.26,2,0,14.1,6,3,2,0,7,10,0.91
4,2018-09-05,1,0,1.37,1,0,5.1,5,1,1,1,3,5,1.07
5,2018-09-11,0,0,2.66,1,0,4.0,5,4,4,1,4,3,1.27
6,2018-09-17,0,0,2.20,1,0,5.0,2,0,0,0,5,6,1.29
7,2018-09-23,1,0,2.08,0,0,6.0,3,1,1,1,2,9,1.21
8,2018-09-29,0,0,2.19,0,0,2.1,1,1,1,0,3,1,1.24
9,September,2,0,2.78,3,0,22.2,16,7,7,3,17,24,1.46
