,date,W,L,ERA,IP,H,ER,HR,BB,SO,WHIP
0,2018-04-09,0,1,27.00,0.1,0,1,0,4,0,12.00
1,2018-04-11,0,0,6.75,1.0,0,0,0,1,0,3.75
2,2018-04-14,0,0,3.86,1.0,1,0,0,0,1,2.57
3,2018-04-17,0,0,11.57,0.0,1,2,1,2,0,3.86
4,2018-04-19,0,0,8.10,1.0,0,0,0,1,1,3.00
5,2018-04-22,0,0,6.23,1.0,0,0,0,0,1,2.31
6,2018-04-24,0,0,5.06,1.0,0,0,0,0,2,1.88
7,2018-04-26,0,0,4.26,1.0,1,0,0,0,1,1.74
8,2018-04-27,0,0,7.11,0.0,3,2,0,0,0,2.21
9,2018-04-29,0,0,7.36,1.0,3,1,0,0,1,2.32
10,April,0,1,7.36,7.1,9,6,1,8,7,2.32
11,2018-05-05,0,0,6.48,1.0,1,0,0,1,0,2.28
12,2018-05-06,0,0,5.79,1.0,0,0,0,0,1,2.04
13,2018-05-10,0,0,5.23,1.0,0,0,0,1,0,1.94
14,2018-05-12,0,0,4.76,1.0,0,0,0,1,0,1.85
15,2018-05-16,0,0,6.17,0.1,2,2,0,2,0,2.14
16,2018-05-19,0,1,7.30,0.2,2,2,0,1,1,2.27
17,2018-05-22,0,0,8.76,0.0,3,2,0,1,0,2.59
18,2018-05-25,0,0,9.45,1.0,3,2,0,0,1,2.63
19,May,0,1,12.00,6.0,11,8,0,7,3,3.00
20,2018-06-19,0,0,8.79,1.0,0,0,0,0,2,2.44
21,2018-06-20,0,0,8.22,1.0,0,0,0,0,2,2.28
22,2018-06-24,0,0,7.71,1.0,1,0,0,0,1,2.20
23,2018-06-26,0,0,7.27,1.0,0,0,0,0,0,2.08
24,2018-06-29,0,0,7.00,0.2,1,0,0,0,2,2.06
25,June,0,0,0.00,4.2,2,0,0,0,7,0.43
26,2018-07-01,0,0,6.63,1.0,0,0,0,0,1,1.95
27,2018-07-02,0,0,6.30,1.0,2,0,0,0,0,1.95
28,2018-07-04,0,0,6.30,0.0,1,0,0,1,0,2.05
29,2018-07-08,0,0,8.27,0.2,4,5,0,2,1,2.27
30,2018-07-10,0,0,7.89,1.0,1,0,0,1,1,2.26
31,2018-07-13,0,0,7.54,1.0,0,0,0,0,0,2.16
32,2018-07-14,0,0,7.99,1.0,3,2,0,0,1,2.20
33,2018-07-20,0,0,7.66,1.0,0,0,0,1,1,2.15
34,2018-07-21,0,0,7.92,0.1,1,1,0,2,0,2.24
35,July,0,0,10.29,7.0,12,8,0,7,5,2.71
36,2018-08-07,0,0,7.62,1.0,0,0,0,1,3,2.19
37,2018-08-08,0,0,7.33,1.0,0,0,0,0,1,2.11
38,2018-08-10,0,0,7.24,0.1,2,0,0,1,0,2.20
39,2018-08-13,0,0,7.07,0.2,1,0,0,0,0,2.18
40,2018-08-14,0,0,6.83,1.0,0,0,0,0,0,2.10
41,2018-08-17,0,0,6.60,1.0,0,0,0,0,1,2.03
42,2018-08-19,0,0,6.53,0.1,1,0,0,0,1,2.04
43,2018-08-22,0,0,6.32,1.0,0,0,0,0,0,1.98
44,2018-08-23,0,0,6.12,1.0,0,0,0,0,3,1.92
45,2018-08-25,0,0,6.27,0.2,1,1,0,0,0,1.91
46,2018-08-26,0,0,6.09,1.0,0,0,0,1,2,1.88
47,2018-08-28,0,0,5.97,0.2,0,0,0,0,0,1.85
48,August,0,0,0.93,9.2,5,1,0,3,11,0.83
49,2018-09-01,1,0,5.91,0.1,0,0,0,1,0,1.86
50,2018-09-03,1,0,5.59,2.0,0,0,0,1,2,1.78
51,2018-09-06,0,0,5.45,1.0,0,0,0,0,1,1.74
52,2018-09-08,0,0,5.31,1.0,0,0,0,0,0,1.69
53,2018-09-11,0,0,5.18,1.0,1,0,0,1,3,1.70
54,2018-09-11,0,0,5.05,1.0,0,0,0,2,1,1.71
55,2018-09-13,0,0,4.97,0.2,0,0,0,0,2,1.68
56,2018-09-16,0,0,5.10,0.2,1,1,1,0,1,1.68
57,2018-09-18,0,0,4.98,1.0,1,0,0,0,2,1.66
58,2018-09-20,0,0,4.87,1.0,1,0,0,2,1,1.69
59,2018-09-24,0,0,4.76,1.0,0,0,0,0,1,1.65
60,2018-09-29,0,0,4.66,1.0,0,0,0,0,0,1.62
61,September,2,0,0.77,11.2,4,1,1,7,14,0.94
