,date,W,L,ERA,GS,SV,IP,H,R,ER,HR,BB,SO,WHIP
0,March,0,0,27.00,0,0,0.1,0,1,1,0,2,1,6.00
1,2018-03-31,0,0,27.00,0,0,0.1,0,1,1,0,2,1,6.00
2,2018-04-02,0,0,13.50,0,0,0.1,1,0,0,0,1,1,6.00
3,2018-04-05,0,0,6.75,0,0,0.2,0,0,0,0,0,1,3.00
4,2018-04-07,0,0,3.86,0,0,1.0,0,0,0,0,0,1,1.71
5,2018-04-09,0,0,11.57,0,0,0.0,2,3,2,0,1,0,3.00
6,2018-04-11,0,0,8.10,0,0,1.0,0,0,0,0,2,0,2.70
7,2018-04-13,0,0,6.75,0,0,0.2,0,0,0,0,0,1,2.25
8,2018-04-15,0,0,5.40,0,1,1.0,1,0,0,0,0,2,2.00
9,2018-04-20,0,0,6.35,0,0,0.2,2,1,1,0,1,1,2.29
10,2018-04-22,0,0,5.68,0,0,0.2,0,0,0,0,1,2,2.21
11,2018-04-24,0,0,6.14,0,0,1.0,1,1,1,0,1,1,2.18
12,2018-04-28,0,0,5.40,0,0,1.0,0,0,0,0,0,2,1.92
13,2018-04-29,0,0,4.82,0,0,1.0,1,0,0,0,0,1,1.82
14,April,0,0,4.00,0,1,9.0,8,5,4,0,7,13,1.67
15,2018-05-01,0,0,4.35,0,0,1.0,0,0,0,0,1,0,1.74
16,2018-05-04,0,0,4.76,0,0,1.0,1,1,1,0,1,1,1.76
17,2018-05-07,0,0,4.38,0,0,1.0,0,0,0,0,1,0,1.70
18,2018-05-09,0,0,4.15,0,0,0.2,0,0,0,0,0,2,1.62
19,2018-05-11,0,0,3.86,0,0,1.0,0,0,0,0,1,1,1.57
20,2018-05-15,0,0,3.68,0,0,0.2,0,0,0,0,1,2,1.57
21,2018-05-16,0,0,3.68,0,0,0.0,1,0,0,0,0,0,1.64
22,2018-05-19,0,0,3.38,0,0,1.1,1,0,0,0,0,1,1.56
23,2018-05-22,0,0,4.24,0,0,1.0,3,2,2,1,0,1,1.65
24,2018-05-25,0,0,4.08,0,0,0.2,1,0,0,0,1,2,1.70
25,2018-05-27,0,0,3.93,0,0,0.2,0,0,0,0,0,0,1.64
26,2018-05-29,0,0,3.72,0,0,1.0,1,0,0,0,0,2,1.60
27,May,0,0,2.70,0,0,10.0,8,3,3,1,6,12,1.40
28,2018-06-02,1,0,3.54,0,0,1.0,1,0,0,0,0,1,1.57
29,2018-06-06,0,0,3.38,0,0,1.0,2,0,0,0,0,0,1.59
30,2018-06-09,0,0,3.22,0,0,1.0,0,0,0,0,1,0,1.57
31,2018-06-10,0,0,3.09,0,0,1.0,1,0,0,0,0,2,1.54
32,2018-06-13,0,0,2.96,0,0,1.0,0,0,0,0,0,3,1.48
33,2018-06-18,0,0,2.84,0,0,1.0,0,0,0,0,0,0,1.42
34,2018-06-19,0,0,2.73,0,0,1.0,0,0,0,0,0,2,1.37
35,2018-06-20,0,0,2.96,0,1,1.0,2,1,1,1,0,1,1.39
36,2018-06-26,0,1,3.86,0,0,0.2,3,3,3,0,1,0,1.50
37,2018-06-30,0,0,3.81,0,0,0.1,1,0,0,0,1,0,1.55
38,June,1,1,4.00,0,1,9.0,10,4,4,1,3,9,1.44
39,2018-07-04,0,0,3.68,0,0,1.0,1,0,0,0,0,0,1.53
40,2018-07-05,0,0,3.56,0,0,1.0,1,0,0,0,0,2,1.52
41,2018-07-08,0,0,3.45,0,0,1.0,0,0,0,0,1,0,1.50
42,2018-07-11,0,0,3.34,0,0,1.0,0,0,0,0,0,3,1.45
43,2018-07-13,0,0,3.31,0,0,0.1,0,0,0,0,0,0,1.44
44,2018-07-15,0,0,3.21,0,0,1.0,0,0,0,0,0,1,1.40
