,date,W,L,ERA,IP,H,ER,HR,BB,SO,WHIP
0,2019-03-30,0,0,0.00,1.0,2,0,0,0,0,2.00
1,March,0,0,0.00,1.0,2,0,0,0,0,2.00
2,2019-04-01,0,0,0.00,1.1,0,0,0,0,3,0.86
3,April,0,0,0.00,1.1,0,0,0,0,3,0.00
4,2019-05-18,0,0,0.00,0.0,1,0,0,0,0,1.29
5,2019-05-23,0,0,0.00,0.1,0,0,0,0,0,1.13
6,2019-05-25,0,0,0.00,1.2,3,0,0,0,0,1.38
7,2019-05-30,0,0,0.00,0.2,1,0,0,0,1,1.40
8,2019-05-31,0,0,0.00,0.2,0,0,0,1,0,1.41
9,May,0,0,0.00,3.1,5,0,0,1,1,1.80
10,2019-06-04,0,0,0.00,1.0,0,0,0,0,1,1.20
11,2019-06-08,0,0,1.17,1.0,1,1,1,0,1,1.17
12,2019-06-12,0,0,0.93,2.0,1,0,0,1,2,1.14
13,2019-06-14,0,0,1.69,1.0,1,1,1,1,1,1.22
14,2019-06-16,0,0,1.54,1.0,2,0,0,0,1,1.29
15,2019-06-20,0,0,1.42,1.0,0,0,0,0,2,1.18
16,2019-06-22,0,0,1.32,1.0,0,0,0,0,2,1.10
17,2019-06-23,0,0,1.20,1.1,0,0,0,1,0,1.07
18,2019-06-25,0,0,1.13,1.0,1,0,0,0,0,1.06
19,2019-06-26,0,0,1.06,1.0,0,0,0,0,0,1.00
20,2019-06-28,0,0,1.00,1.0,1,0,0,0,1,1.00
21,June,0,0,1.46,12.1,7,2,2,3,11,0.81
22,2019-07-02,0,1,1.42,1.0,1,1,1,0,1,1.00
23,2019-07-06,0,0,1.35,1.0,1,0,0,1,0,1.05
24,2019-07-13,0,0,3.54,0.1,3,5,1,2,0,1.28
25,2019-07-16,0,0,3.43,0.2,2,0,0,0,0,1.33
26,2019-07-17,0,0,3.22,1.1,0,0,0,0,3,1.25
27,2019-07-19,0,0,3.09,1.0,1,0,0,0,2,1.24
28,2019-07-23,0,0,2.96,1.0,0,0,0,0,0,1.19
29,2019-07-24,0,0,3.24,0.2,1,1,1,0,0,1.20
30,2019-07-27,0,0,3.12,1.0,1,0,0,0,0,1.19
31,2019-07-28,0,1,3.42,0.1,1,1,0,1,0,1.25
32,2019-07-31,0,0,3.29,1.0,0,0,0,1,3,1.24
33,July,0,2,7.71,9.1,11,8,3,5,9,1.71
34,2019-08-03,0,0,3.14,1.1,1,0,0,0,2,1.22
35,2019-08-04,0,0,3.03,1.0,1,0,0,0,0,1.21
36,2019-08-06,0,0,2.93,1.0,1,0,0,0,1,1.21
37,2019-08-10,0,0,3.13,1.0,2,1,1,0,0,1.23
38,2019-08-12,0,0,3.98,0.0,3,3,2,0,0,1.33
39,2019-08-13,0,0,3.86,1.0,1,0,0,0,2,1.32
40,2019-08-19,0,0,3.82,0.1,1,0,0,0,0,1.33
41,2019-08-23,0,0,3.71,1.0,2,0,0,0,1,1.35
42,2019-08-25,0,0,3.60,1.0,0,0,0,0,0,1.31
43,2019-08-27,0,0,4.11,0.0,3,2,0,1,0,1.43
44,2019-08-29,0,0,3.89,2.0,0,0,0,0,1,1.35
45,2019-08-31,0,0,4.03,1.0,3,1,0,0,0,1.39
46,August,0,0,5.91,10.2,18,7,3,1,7,1.78
47,2019-09-02,0,0,4.38,1.0,2,2,2,0,1,1.41
48,2019-09-12,0,0,4.28,1.0,1,0,0,1,3,1.43
49,2019-09-20,0,0,4.17,1.0,0,0,0,0,0,1.39
50,2019-09-22,0,0,4.35,0.1,1,1,1,0,0,1.40
51,September,0,0,8.10,3.1,4,3,3,1,4,1.50
