,date,W,L,ERA,IP,H,ER,HR,BB,SO,WHIP
0,2018-04-02,1,0,3.38,5.1,4,2,1,0,9,0.75
1,2018-04-08,1,0,1.26,9.0,1,0,0,2,7,0.49
2,2018-04-14,0,0,0.89,6.0,4,0,0,3,2,0.69
3,2018-04-19,0,1,2.86,1.2,4,5,1,2,3,0.91
4,2018-04-25,0,1,4.91,3.2,10,7,2,0,3,1.17
5,2018-04-30,0,1,4.83,6.0,7,3,0,2,5,1.23
6,April,2,3,4.83,31.2,30,17,4,9,29,1.23
7,2018-05-05,0,0,4.42,5.0,6,1,0,2,1,1.28
8,2018-05-11,0,0,4.08,3.0,1,0,0,1,5,1.24
9,2018-05-16,0,0,3.97,5.2,5,2,2,3,5,1.26
10,2018-05-22,0,1,4.56,6.0,8,6,1,1,8,1.29
11,2018-05-27,0,0,4.53,6.1,5,3,0,1,6,1.25
12,May,0,1,4.15,26.0,25,12,3,8,25,1.27
13,2018-06-01,1,0,3.97,8.0,3,0,0,1,6,1.16
14,2018-06-07,0,1,4.08,5.0,8,3,1,1,7,1.20
15,2018-06-13,1,0,3.94,7.0,6,2,1,2,4,1.20
16,2018-06-19,0,1,4.03,5.0,7,3,1,1,7,1.22
17,2018-06-25,1,0,3.96,6.0,4,2,0,3,5,1.22
18,June,3,2,2.90,31.0,28,10,3,8,29,1.16
19,2018-07-01,0,0,4.05,4.2,7,3,1,3,4,1.26
20,2018-07-07,0,1,4.05,6.2,5,3,0,0,6,1.23
21,2018-07-12,1,0,3.91,6.0,4,1,1,2,10,1.22
22,2018-07-20,1,0,3.80,5.1,6,1,0,1,6,1.22
23,2018-07-25,0,1,3.73,7.0,7,2,0,1,5,1.22
24,2018-07-31,1,0,3.74,6.2,7,3,1,2,2,1.22
25,July,3,2,3.22,36.1,36,13,3,9,33,1.24
26,2018-08-07,1,0,3.63,9.0,10,2,0,1,3,1.22
27,2018-08-14,0,1,3.66,6.0,7,3,0,1,4,1.23
28,2018-08-19,0,0,3.58,6.0,5,1,1,3,8,1.23
29,2018-08-25,1,0,3.49,6.0,5,1,1,0,8,1.22
30,2018-08-31,1,0,3.45,7.0,5,2,2,1,7,1.20
31,August,3,1,2.38,34.0,32,9,4,6,30,1.12
32,2018-09-05,1,0,3.40,5.0,8,1,1,0,6,1.21
33,2018-09-12,1,0,3.37,7.0,4,2,0,2,4,1.20
34,2018-09-18,0,0,3.24,7.0,4,0,0,1,11,1.18
35,2018-09-24,1,0,3.16,7.0,5,1,1,3,5,1.18
36,2018-09-29,0,1,3.20,6.0,7,3,1,0,7,1.18
37,September,3,1,1.97,32.0,28,7,3,6,33,1.06
