,date,W,L,ERA,IP,H,ER,HR,BB,SO,WHIP
0,2019-04-16,0,0,0.00,4.0,3,0,0,0,6,0.75
1,2019-04-21,0,1,3.60,6.0,7,4,0,4,8,1.40
2,2019-04-26,1,0,2.12,7.0,2,0,0,1,6,1.00
3,April,1,1,2.12,17.0,12,4,0,5,20,1.00
4,2019-05-03,0,0,2.05,5.0,3,1,0,3,7,1.05
5,2019-05-08,1,0,1.50,8.0,3,0,0,3,4,0.97
6,2019-05-14,0,1,2.65,4.0,8,5,2,2,2,1.15
7,2019-05-19,0,0,3.23,5.0,4,4,3,1,5,1.13
8,2019-05-24,0,0,3.86,3.0,5,4,2,1,1,1.19
9,2019-05-30,0,1,4.10,6.1,8,4,3,0,4,1.20
10,May,1,2,5.17,31.1,31,18,10,10,23,1.31
11,2019-06-04,1,0,4.14,6.0,4,3,1,0,5,1.14
12,2019-06-10,0,1,5.02,3.0,5,7,5,2,2,1.20
13,2019-06-16,0,0,5.71,1.0,6,5,2,1,1,1.30
14,June,1,1,13.50,10.0,15,15,8,3,8,1.80
