,date,W,L,ERA,IP,H,ER,HR,BB,SO,WHIP
0,2020-07-25,0,0,0.00,1.0,0,0,0,1,2,1.00
1,2020-07-28,0,0,0.00,1.0,0,0,0,2,1,1.50
2,2020-07-30,0,0,0.00,1.0,0,0,0,0,0,1.00
3,2020-07-31,0,0,0.00,0.1,2,0,0,1,0,1.80
4,July,0,0,0.00,3.1,2,0,0,4,3,1.80
5,2020-08-03,0,0,0.00,1.0,1,0,0,1,0,1.85
6,2020-08-07,0,0,0.00,1.0,1,0,0,0,0,1.69
7,2020-08-08,0,0,0.00,1.0,1,0,0,0,2,1.58
8,August,0,0,0.00,3.0,3,0,0,1,2,1.33
9,2020-09-17,0,0,0.00,0.1,0,0,0,0,0,1.50
10,2020-09-18,0,0,0.00,1.0,0,0,0,0,1,1.30
11,2020-09-22,0,0,0.00,0.1,0,0,0,0,1,1.25
12,2020-09-23,0,0,2.00,1.0,2,2,0,1,1,1.44
13,2020-09-26,0,0,1.80,1.0,1,0,0,1,1,1.50
14,September,0,0,4.91,3.2,3,2,0,2,4,1.36
