,date,W,L,ERA,IP,H,ER,HR,BB,SO,WHIP
0,2020-08-06,0,0,13.50,0.2,2,1,0,1,0,4.50
1,2020-08-08,0,0,6.75,0.2,0,0,0,1,1,3.00
2,2020-08-09,0,0,3.86,1.0,1,0,0,1,2,2.57
3,2020-08-11,0,0,2.08,2.0,0,0,0,0,3,1.38
4,2020-08-17,0,0,1.69,1.0,0,0,0,0,2,1.13
5,2020-08-18,0,0,1.35,1.1,0,0,0,1,0,1.05
6,2020-08-23,0,0,1.17,1.0,0,0,0,0,2,0.91
7,2020-08-26,0,0,1.04,1.0,0,0,0,0,2,0.81
8,2020-08-28,0,0,2.79,1.0,3,2,0,0,2,1.03
9,2020-08-30,0,0,2.45,1.1,1,0,0,0,2,1.00
10,August,0,0,2.45,11.0,7,3,0,4,16,1.00
11,2020-09-02,0,0,2.25,1.0,1,0,0,1,1,1.08
12,2020-09-05,0,0,2.13,0.2,0,0,0,0,0,1.03
13,September,0,0,0.00,1.2,1,0,0,1,1,1.20
