,date,W,L,ERA,GS,SV,IP,H,R,ER,HR,BB,SO,WHIP
0,2021-04-07,0,0,0.00,0,0,2.0,1,0,0,0,0,3,0.50
1,2021-04-17,0,1,5.40,1,0,3.0,4,3,3,0,0,3,1.00
2,2021-04-22,0,0,6.75,1,0,3.0,2,3,3,0,2,5,1.13
3,April,0,1,6.75,2,0,8.0,7,6,6,0,2,11,1.13
4,2021-05-03,0,1,10.13,1,0,2.2,7,6,6,2,1,1,1.59
5,2021-05-08,1,0,7.71,0,0,3.1,2,1,0,0,1,3,1.43
6,2021-05-15,0,1,9.19,0,0,1.2,3,4,4,0,1,2,1.53
7,2021-05-22,0,0,7.32,1,0,4.0,1,0,0,0,0,8,1.27
8,2021-05-27,0,0,6.56,1,0,3.2,2,1,1,0,3,2,1.29
9,May,1,2,6.46,3,0,15.1,15,12,11,2,6,16,1.37
10,2021-06-04,0,1,5.79,1,0,4.2,4,1,1,1,0,3,1.21
11,2021-06-13,0,0,5.18,1,0,5.0,4,1,1,1,1,6,1.18
12,2021-06-18,0,0,4.46,1,0,5.1,4,0,0,0,2,5,1.17
13,June,0,1,1.20,3,0,15.0,12,2,2,2,3,14,1.00
