,date,W,L,ERA,IP,H,ER,HR,BB,SO,WHIP
0,2018-04-26,1,0,0.00,3.0,0,0,0,0,1,0.00
1,April,1,0,0.00,3.0,0,0,0,0,1,0.00
2,2018-05-07,0,1,4.32,5.1,6,4,0,2,5,0.96
3,2018-05-11,0,0,3.86,1.0,0,0,0,1,1,0.96
4,2018-05-13,0,0,4.15,3.2,4,2,0,0,4,1.00
5,2018-05-19,0,0,4.67,4.1,4,3,1,2,7,1.10
6,2018-05-25,0,1,4.76,5.1,4,3,0,0,7,1.01
7,2018-05-30,0,0,4.74,2.0,2,1,0,4,1,1.18
8,May,0,2,5.40,21.2,20,13,1,9,25,1.34
9,2018-06-21,0,0,4.39,2.0,3,0,0,0,2,1.20
10,2018-06-25,1,0,3.48,7.0,1,0,0,5,4,1.13
11,June,1,0,0.00,9.0,4,0,0,5,6,1.00
12,2018-07-01,0,1,3.92,5.1,4,4,1,3,2,1.15
13,2018-07-06,0,0,3.80,6.0,5,2,1,3,5,1.18
14,2018-07-15,1,0,3.49,4.0,0,0,0,2,4,1.12
15,2018-07-21,0,0,3.17,5.0,4,0,0,3,2,1.15
16,2018-07-25,0,0,3.44,1.0,3,2,1,2,1,1.22
17,2018-07-29,0,1,3.49,4.1,4,2,2,2,4,1.23
18,July,1,2,3.51,25.2,20,10,5,15,18,1.36
19,2018-08-03,0,0,4.12,4.0,8,6,0,1,5,1.29
20,2018-08-08,1,0,3.89,6.0,2,1,0,1,4,1.23
21,2018-08-14,1,0,3.74,5.1,4,1,0,0,6,1.19
22,2018-08-19,0,1,3.76,4.1,6,2,0,2,1,1.23
23,2018-08-25,0,0,3.56,7.0,3,1,1,5,6,1.22
24,2018-08-30,1,0,3.34,5.2,3,0,0,3,6,1.21
25,August,3,1,3.06,32.1,26,11,1,12,28,1.18
26,2018-09-04,0,0,3.19,4.1,2,0,0,5,2,1.23
27,2018-09-09,1,0,3.16,6.2,5,2,0,1,6,1.21
28,2018-09-15,0,1,3.53,4.1,6,6,2,4,4,1.25
29,2018-09-21,0,0,3.53,2.2,4,1,0,3,3,1.29
30,2018-09-26,0,0,3.47,4.1,4,1,0,3,2,1.30
31,September,1,1,4.03,22.1,21,10,2,16,17,1.66
