,date,W,L,ERA,IP,H,ER,HR,BB,SO,WHIP
0,2021-04-05,1,0,0.00,6.0,4,0,0,0,7,0.67
1,2021-04-11,0,0,3.27,5.0,5,4,2,2,4,1.00
2,2021-04-17,0,1,4.24,6.0,2,4,2,2,7,0.88
3,2021-04-23,0,0,4.57,4.2,4,3,0,3,5,1.02
4,2021-04-29,0,0,4.39,5.0,6,2,1,1,1,1.09
5,April,1,1,4.39,26.2,21,13,5,8,24,1.09
6,2021-05-05,0,0,4.41,6.0,8,3,0,0,4,1.13
7,2021-05-11,1,0,3.96,6.0,2,1,1,1,9,1.03
8,2021-05-16,0,0,4.75,3.0,6,5,0,2,4,1.15
9,2021-05-21,0,0,4.07,7.0,5,0,0,0,11,1.09
10,2021-05-27,0,0,4.22,4.2,5,3,1,2,1,1.13
11,May,1,0,4.05,26.2,26,12,2,5,29,1.16
12,2021-06-02,1,0,3.92,6.1,5,1,0,2,6,1.12
13,2021-06-08,0,0,3.99,5.2,8,3,0,0,6,1.15
14,2021-06-15,0,0,4.20,5.1,5,4,1,4,4,1.19
15,2021-06-20,0,0,4.03,5.1,3,1,1,2,6,1.17
16,2021-06-26,0,1,4.06,6.0,8,3,0,2,5,1.21
17,June,1,1,3.77,28.2,29,12,2,10,27,1.36
18,2021-07-03,0,1,4.17,4.1,6,3,0,3,6,1.25
19,2021-07-08,0,1,4.16,6.2,4,3,2,2,9,1.23
20,2021-07-16,0,1,4.18,6.0,3,3,1,2,4,1.20
21,2021-07-22,0,0,3.96,5.2,3,0,0,1,6,1.18
22,2021-07-27,1,0,3.78,5.0,5,0,0,3,5,1.19
23,July,1,3,2.93,27.2,21,9,3,11,30,1.16
24,2021-08-01,0,0,3.69,5.0,4,1,0,1,5,1.19
25,2021-08-17,0,0,3.77,4.2,5,3,1,2,6,1.20
26,2021-08-23,1,0,3.69,5.0,2,1,1,4,2,1.20
27,2021-08-29,0,0,3.52,6.0,6,0,0,0,3,1.19
28,August,1,0,2.18,20.2,17,5,2,7,16,1.16
29,2021-09-04,0,0,3.47,4.2,6,1,0,2,5,1.21
30,2021-09-10,0,1,3.71,3.1,7,5,1,3,6,1.25
31,2021-09-16,0,0,3.63,5.2,6,1,1,1,12,1.25
32,2021-09-21,1,0,3.55,5.2,4,1,0,1,6,1.24
33,2021-09-26,0,0,3.49,5.0,7,1,0,0,4,1.24
34,September,1,1,3.33,24.1,30,9,2,7,33,1.52
35,2021-10-02,0,1,3.83,2.2,6,7,3,3,3,1.28
36,October,0,1,23.63,2.2,6,7,3,3,3,3.38
