,date,W,L,ERA,GS,SV,IP,H,R,ER,HR,BB,SO,WHIP
0,2020-07-24,1,0,0.00,0,0,1.0,0,0,0,0,2,2,2.00
1,2020-07-26,0,0,0.00,0,0,1.0,0,0,0,0,0,1,1.00
2,2020-07-27,0,0,0.00,0,0,0.2,0,0,0,0,0,0,0.75
3,2020-07-29,0,0,0.00,0,0,1.1,0,0,0,0,0,3,0.50
4,July,1,0,0.00,0,0,4.0,0,0,0,0,2,6,0.50
5,2020-08-05,0,0,0.00,0,0,1.0,0,0,0,0,0,1,0.40
6,2020-08-06,0,0,0.00,0,0,1.0,0,0,0,0,0,1,0.33
7,2020-08-08,0,0,0.00,0,0,1.0,0,0,0,0,1,2,0.43
8,2020-08-11,0,0,0.00,0,0,1.0,0,0,0,0,0,1,0.38
9,2020-08-12,0,0,0.00,0,0,1.0,1,0,0,0,0,2,0.44
10,2020-08-15,0,1,0.90,0,0,1.0,2,1,1,1,1,0,0.70
11,2020-08-18,0,0,0.82,0,0,1.0,1,0,0,0,0,2,0.73
12,2020-08-20,1,0,0.75,0,0,1.0,0,0,0,0,0,3,0.67
13,2020-08-21,0,0,0.69,0,1,1.0,2,1,0,0,0,1,0.77
14,2020-08-24,0,0,0.64,0,1,1.0,1,0,0,0,1,1,0.86
15,2020-08-28,0,0,1.23,0,0,0.2,1,1,1,1,0,1,0.89
16,August,1,1,1.69,0,2,10.2,8,3,2,2,3,15,1.03
