,date,W,L,ERA,IP,H,ER,HR,BB,SO,WHIP
0,2020-07-24,0,0,4.50,4.0,6,2,1,1,2,1.75
1,2020-07-30,0,0,5.40,4.1,6,3,0,0,8,1.56
2,July,0,0,5.40,8.1,12,5,1,1,10,1.56
3,2020-08-04,0,1,5.27,5.1,5,3,1,1,7,1.39
4,2020-08-09,0,0,4.05,6.1,3,1,0,0,6,1.10
5,2020-08-15,0,0,4.21,5.2,5,3,2,3,11,1.17
6,2020-08-20,1,0,4.65,5.1,9,4,1,1,8,1.29
7,2020-08-27,0,1,4.54,4.2,3,2,1,2,6,1.26
8,August,1,2,4.28,27.1,25,13,5,7,38,1.17
9,2020-09-01,1,0,4.43,5.0,2,2,2,1,5,1.18
10,2020-09-07,1,0,4.05,6.0,2,1,0,3,9,1.14
11,2020-09-19,0,1,3.76,6.0,1,1,0,3,6,1.08
12,2020-09-24,0,0,3.68,6.0,8,2,0,1,9,1.13
13,2020-09-27,0,0,3.62,1.0,0,0,0,0,2,1.11
14,September,2,1,2.25,24.0,13,6,2,8,31,0.88
