,date,W,L,ERA,IP,H,ER,HR,BB,SO,WHIP
0,2021-04-02,0,0,0.00,1.1,0,0,0,1,1,0.75
1,2021-04-06,0,0,12.00,1.2,1,4,1,2,1,1.33
2,2021-04-10,0,0,9.00,1.0,0,0,0,0,0,1.00
3,2021-04-15,0,0,7.20,1.0,1,0,0,0,0,1.00
4,2021-04-17,0,0,6.00,1.0,0,0,0,0,2,0.83
5,2021-04-20,0,0,5.14,1.0,0,0,0,2,1,1.00
6,2021-04-24,0,0,4.50,1.0,0,0,0,0,2,0.88
7,2021-04-28,0,0,4.15,0.2,0,0,0,0,0,0.81
8,April,0,0,4.15,8.2,2,4,1,5,7,0.81
9,2021-05-01,0,0,3.38,2.0,2,0,0,0,1,0.84
10,2021-05-03,0,0,3.09,1.0,0,0,0,0,1,0.77
11,2021-05-04,0,0,3.86,0.0,0,1,0,1,0,0.86
12,2021-05-21,0,0,3.55,1.0,0,0,0,1,0,0.87
13,2021-05-24,0,0,3.29,1.0,0,0,0,0,2,0.80
14,2021-05-27,0,0,3.07,1.0,1,0,0,0,1,0.82
15,2021-05-28,0,0,2.93,0.2,1,0,0,1,1,0.91
16,2021-05-30,0,0,2.76,1.0,0,0,0,0,0,0.86
17,May,0,0,1.17,7.2,4,1,0,3,6,0.91
18,2021-06-03,0,0,2.60,1.0,0,0,0,0,0,0.81
19,2021-06-06,0,0,4.15,0.0,3,3,0,1,0,1.04
20,2021-06-09,0,0,4.42,1.0,2,1,1,0,1,1.09
21,2021-06-27,0,0,4.19,1.0,0,0,0,2,1,1.14
22,June,0,0,12.00,3.0,5,4,1,3,2,2.67
23,2021-07-02,0,0,3.92,1.1,0,0,0,0,0,1.06
24,2021-07-07,0,0,3.74,1.0,1,0,0,0,0,1.06
25,2021-07-11,0,0,3.91,1.1,3,1,0,0,1,1.13
26,2021-07-17,0,0,3.75,1.0,1,0,0,0,0,1.13
27,2021-07-21,0,1,5.40,1.0,5,5,0,1,1,1.32
28,2021-07-26,0,0,5.54,1.0,2,1,0,1,2,1.38
29,2021-07-28,0,0,5.67,1.0,1,1,0,2,2,1.44
30,July,0,1,9.39,7.2,13,8,0,4,6,2.22
31,2021-08-02,0,0,5.46,1.0,0,0,0,0,1,1.39
32,2021-08-06,0,1,5.34,0.2,1,0,0,1,1,1.43
33,2021-08-14,1,0,5.16,1.0,0,0,0,1,1,1.42
34,2021-08-20,0,0,4.99,1.0,3,0,0,1,0,1.50
35,2021-08-22,0,0,4.94,0.1,2,0,0,1,0,1.58
36,August,1,1,0.00,4.0,6,0,0,4,3,2.50
