,date,W,L,ERA,GS,SV,IP,H,R,ER,HR,BB,SO,WHIP
0,2019-08-09,0,0,4.15,1,0,4.1,3,2,2,0,3,7,1.38
1,2019-08-14,1,0,4.50,1,0,5.2,4,3,3,0,3,5,1.30
2,2019-08-19,0,0,6.60,1,0,5.0,7,7,6,1,2,3,1.47
3,2019-08-24,1,0,4.64,1,0,6.1,6,0,0,0,0,8,1.31
4,2019-08-30,1,0,4.33,1,0,5.2,7,2,2,0,1,4,1.33
5,August,3,0,4.33,5,0,27.0,27,14,13,1,9,27,1.33
6,2019-09-05,1,0,3.78,1,0,6.1,8,1,1,0,2,2,1.38
7,2019-09-12,0,0,4.34,1,0,4.0,7,4,4,0,3,1,1.50
8,2019-09-18,0,1,4.25,1,0,5.0,4,2,2,1,4,2,1.51
9,2019-09-25,0,1,4.96,1,0,3.0,6,5,5,1,1,1,1.57
10,September,1,2,5.89,4,0,18.1,25,12,12,2,10,6,1.91
