,date,W,L,ERA,IP,H,ER,HR,BB,SO,WHIP
0,2020-08-02,0,0,2.25,4.0,2,1,0,2,3,1.00
1,2020-08-08,0,0,1.00,5.0,2,0,0,1,6,0.78
2,2020-08-16,0,1,5.25,3.0,8,6,1,1,4,1.33
3,2020-08-21,0,1,7.82,0.2,5,4,0,2,1,1.82
4,2020-08-26,0,1,6.50,5.1,1,2,0,4,5,1.56
5,August,0,3,6.50,18.0,18,13,1,10,19,1.56
6,2020-09-02,0,1,5.40,7.0,2,2,1,2,4,1.28
7,2020-09-07,0,1,7.22,3.2,5,8,2,4,5,1.43
8,2020-09-12,0,1,8.80,1.0,5,6,0,2,1,1.62
9,2020-09-20,0,0,8.51,1.0,0,0,0,1,0,1.60
10,2020-09-22,0,0,7.99,2.0,1,0,0,0,2,1.53
11,2020-09-27,0,0,7.75,1.0,0,0,0,1,1,1.51
12,September,0,3,9.19,15.2,13,16,3,10,13,1.47
