,date,W,L,ERA,IP,H,ER,HR,BB,SO,WHIP
0,2021-04-03,0,0,0.00,4.2,6,0,0,2,6,1.71
1,2021-04-08,1,0,0.00,9.0,5,0,0,0,11,0.95
2,2021-04-15,0,1,0.92,6.0,5,2,1,0,10,0.92
3,April,1,1,0.92,19.2,16,2,1,2,27,0.92
4,2021-05-01,1,0,1.82,5.0,4,3,1,2,2,0.97
5,2021-05-08,1,0,1.52,5.0,1,0,0,4,6,0.98
6,2021-05-13,1,0,1.30,5.0,2,0,0,3,9,0.98
7,2021-05-18,0,0,1.55,6.0,5,2,2,1,2,0.98
8,2021-05-24,1,0,1.32,7.0,2,0,0,3,4,0.94
9,2021-05-29,1,0,1.20,5.0,3,0,0,0,7,0.91
10,May,5,0,1.36,33.0,17,5,3,13,30,0.91
11,2021-06-03,1,0,1.23,6.0,4,1,1,2,6,0.92
12,2021-06-09,0,0,1.23,7.0,4,1,1,0,9,0.88
13,2021-06-14,0,1,1.51,6.0,6,3,2,3,8,0.93
14,2021-06-19,0,1,2.14,4.0,8,6,0,1,6,1.00
15,2021-06-26,0,0,2.06,3.0,0,0,0,2,4,0.99
16,June,1,2,3.81,26.0,22,11,4,8,33,1.15
17,2021-07-02,1,0,2.02,6.0,4,1,0,5,9,1.03
18,2021-07-07,1,0,1.99,6.0,4,1,1,3,6,1.04
19,2021-07-19,0,0,1.94,7.0,5,1,1,1,4,1.02
20,2021-07-25,1,0,1.91,6.0,6,1,0,0,6,1.02
21,2021-07-30,0,0,2.07,5.0,7,3,0,1,7,1.05
22,July,3,0,2.10,30.0,26,7,2,10,32,1.20
23,2021-08-06,0,0,2.04,6.0,4,1,0,2,8,1.05
24,2021-08-12,0,0,2.26,5.0,4,4,2,2,7,1.05
25,2021-08-18,0,0,2.26,4.0,4,1,1,3,4,1.08
26,2021-08-23,0,0,2.20,7.0,4,1,0,0,4,1.05
27,2021-08-28,0,1,2.59,5.0,7,7,3,2,7,1.08
28,August,0,1,4.67,27.0,23,14,6,9,30,1.19
29,2021-09-12,0,0,2.50,5.0,2,0,0,0,9,1.05
30,2021-09-18,0,1,2.47,5.1,6,1,0,2,5,1.07
31,2021-09-25,0,1,2.72,6.0,7,6,2,0,6,1.07
32,September,0,2,3.86,16.1,15,7,2,2,20,1.04
33,2021-10-01,1,0,2.69,5.0,4,1,0,1,4,1.07
34,October,1,0,1.80,5.0,4,1,0,1,4,1.00
