,date,W,L,ERA,IP,H,ER,HR,BB,SO,WHIP
0,2020-07-24,0,1,17.18,3.2,6,7,2,3,3,2.45
1,2020-07-29,0,0,6.52,6.0,4,0,0,2,6,1.55
2,July,0,1,6.52,9.2,10,7,2,5,9,1.55
3,2020-08-04,1,0,5.17,6.0,4,2,1,3,9,1.40
4,2020-08-09,0,0,4.37,7.0,4,2,0,5,9,1.37
5,2020-08-15,0,1,4.88,5.0,6,4,0,2,5,1.41
6,2020-08-20,1,0,3.89,7.0,3,0,0,1,13,1.24
7,2020-08-25,1,0,3.09,9.0,0,0,0,1,13,1.01
8,2020-08-31,0,0,3.14,5.0,4,2,1,1,8,1.01
9,August,3,1,2.31,39.0,21,10,2,13,57,0.87
10,2020-09-05,1,0,3.29,6.0,5,3,1,0,9,0.99
11,2020-09-11,0,0,3.43,5.2,4,3,0,4,7,1.03
12,2020-09-16,0,1,3.53,6.0,3,3,2,3,4,1.03
13,2020-09-23,0,0,3.48,6.0,4,2,1,3,11,1.04
14,September,1,1,4.18,23.2,16,11,4,10,31,1.10
