,date,W,L,ERA,GS,SV,IP,H,R,ER,HR,BB,SO,WHIP
0,2020-07-25,0,0,1.50,1,0,6.0,6,1,1,0,1,11,1.17
1,2020-07-31,0,1,4.50,1,0,6.0,8,5,5,0,1,6,1.33
2,July,0,1,4.50,2,0,12.0,14,6,6,0,2,17,1.33
3,2020-08-06,0,1,4.76,1,0,5.0,4,3,3,1,4,9,1.41
4,2020-08-11,0,0,3.91,1,0,6.0,7,3,1,0,2,5,1.43
5,2020-08-19,0,1,4.10,1,0,3.1,5,4,2,0,2,5,1.52
6,2020-08-25,0,1,3.62,1,0,6.0,5,3,1,0,4,9,1.52
7,2020-08-30,0,1,4.10,1,0,5.0,5,4,4,3,1,7,1.47
8,August,0,4,3.91,5,0,25.1,26,17,11,4,13,35,1.54
9,2020-09-04,1,0,3.95,1,0,6.0,7,2,2,0,2,8,1.48
10,2020-09-11,1,0,3.44,1,0,9.0,2,1,1,0,3,6,1.32
11,2020-09-16,1,0,3.03,1,0,7.0,3,0,0,0,1,10,1.23
12,2020-09-21,1,0,2.86,1,0,6.2,4,1,1,1,3,9,1.21
13,2020-09-26,0,1,3.21,1,0,4.0,6,4,4,0,0,4,1.23
14,September,4,1,2.20,5,0,32.2,22,8,8,1,9,37,0.95
