,date,W,L,ERA,GS,SV,IP,H,R,ER,HR,BB,SO,WHIP
0,2019-03-30,0,0,0.00,0,0,1.0,0,0,0,0,0,0,0.00
1,March,0,0,0.00,0,0,2.0,1,0,0,0,2,1,1.50
2,2019-03-31,0,0,0.00,0,0,1.0,1,0,0,0,2,1,1.50
3,2019-04-02,0,1,3.00,0,0,1.0,2,1,1,1,0,0,1.67
4,2019-04-06,0,0,2.45,0,0,0.2,0,0,0,0,0,1,1.36
5,2019-04-07,0,0,1.80,0,0,1.1,2,0,0,0,1,0,1.60
6,2019-04-09,0,0,1.50,0,0,1.0,0,0,0,0,0,1,1.33
7,2019-04-13,0,0,1.29,0,0,1.0,0,0,0,0,1,1,1.29
8,2019-04-17,0,0,1.13,0,0,1.0,0,0,0,0,0,1,1.13
9,2019-04-18,0,0,1.00,0,0,1.0,0,0,0,0,3,0,1.33
10,2019-04-21,0,0,0.96,0,1,0.1,0,0,0,0,0,0,1.29
11,2019-04-22,0,0,0.87,0,0,1.0,0,0,0,0,1,0,1.26
12,2019-04-24,0,0,3.48,0,0,0.0,1,3,3,0,3,0,1.65
13,2019-04-27,0,0,3.18,0,0,1.0,1,0,0,0,0,0,1.59
14,April,0,1,3.86,0,1,9.1,6,4,4,1,9,4,1.61
15,2019-05-02,0,0,2.92,0,0,1.0,2,0,0,0,0,2,1.62
16,2019-05-04,0,0,2.77,0,0,0.2,0,0,0,0,0,1,1.54
17,2019-05-08,0,0,2.57,0,0,1.0,0,0,0,0,0,1,1.43
18,2019-05-10,0,0,2.40,0,0,1.0,0,0,0,0,0,0,1.33
19,2019-05-12,0,0,2.25,0,0,1.0,1,0,0,0,2,0,1.44
20,2019-05-26,1,0,2.12,0,0,1.0,1,0,0,0,0,2,1.41
21,2019-05-27,0,0,2.50,0,0,1.0,1,1,1,1,0,1,1.39
22,2019-05-29,0,0,3.32,0,0,1.0,2,2,2,1,0,1,1.42
23,2019-05-30,0,0,3.15,1,0,1.0,1,0,0,0,0,0,1.40
24,May,1,0,3.12,1,0,8.2,8,3,3,2,2,8,1.15
25,2019-06-03,0,0,3.80,0,0,1.1,3,2,2,2,0,2,1.45
26,2019-06-04,0,0,3.63,0,0,1.0,1,0,0,0,1,0,1.48
27,2019-06-07,0,0,3.80,0,0,1.1,1,1,1,1,3,1,1.56
28,2019-06-09,0,0,3.75,0,0,0.1,0,0,0,0,0,0,1.54
29,2019-06-14,0,0,4.74,0,0,0.2,3,3,3,0,0,1,1.62
30,2019-06-16,0,0,4.68,0,0,0.1,0,0,0,0,0,0,1.60
31,2019-06-17,0,0,4.85,1,0,1.0,1,1,1,1,0,1,1.58
32,2019-06-20,0,0,4.67,0,0,1.0,1,0,0,0,1,2,1.59
33,2019-06-22,0,0,4.50,0,0,1.0,0,0,0,0,1,0,1.57
34,2019-06-27,0,0,4.34,0,0,1.0,0,0,0,0,0,0,1.52
35,2019-06-28,0,0,4.20,0,0,1.0,1,0,0,0,0,0,1.50
36,2019-06-29,0,0,4.06,0,0,1.0,0,0,0,0,0,2,1.45
37,June,0,0,5.73,1,0,11.0,11,7,7,4,6,9,1.55
38,2019-07-04,0,0,4.78,0,0,1.0,5,3,3,1,0,2,1.56
39,2019-07-06,0,0,4.64,0,0,1.0,1,0,0,0,0,1,1.55
40,2019-07-13,0,0,4.50,0,0,1.0,1,0,0,0,1,1,1.56
41,2019-07-17,0,0,4.29,0,0,1.2,0,0,0,0,0,1,1.49
