,date,W,L,ERA,GS,SV,IP,H,R,ER,HR,BB,SO,WHIP
0,2018-06-05,0,1,3.00,1,0,6.0,8,2,2,0,0,3,1.33
1,2018-06-11,0,0,4.76,1,0,5.1,6,4,4,1,1,3,1.32
2,2018-06-16,0,1,4.67,1,0,6.0,5,3,3,2,4,3,1.38
3,2018-06-21,1,0,3.20,1,0,8.0,3,0,0,0,2,8,1.14
4,2018-06-27,0,0,2.51,1,0,7.0,2,0,0,0,2,8,1.02
5,June,1,2,2.51,5,0,32.1,24,9,9,3,9,25,1.02
6,2018-07-02,0,1,2.58,1,0,6.0,8,3,2,0,3,5,1.15
7,2018-07-08,1,0,3.09,1,0,5.1,7,4,4,1,2,6,1.21
8,2018-07-13,1,0,2.90,1,0,6.0,3,1,1,1,3,5,1.19
9,2018-07-21,0,0,3.19,1,0,4.0,2,3,3,0,6,5,1.25
10,2018-07-27,0,1,3.06,1,0,8.0,6,3,2,0,1,5,1.20
11,July,2,2,3.68,5,0,29.1,26,14,12,2,15,26,1.40
12,2018-08-02,1,0,2.97,1,0,5.0,7,1,1,0,3,5,1.26
13,2018-08-07,0,0,2.69,1,0,7.0,5,0,0,0,3,7,1.25
14,2018-08-13,0,0,2.71,1,0,6.0,7,2,2,1,2,4,1.27
15,2018-08-18,0,1,3.05,1,0,6.0,8,6,5,2,2,6,1.30
16,2018-08-23,1,0,2.88,1,0,8.0,5,1,1,1,0,8,1.24
17,2018-08-28,0,0,2.68,1,0,7.0,4,0,0,0,4,5,1.23
18,August,2,1,2.08,6,0,39.0,36,10,9,4,14,35,1.28
19,2018-09-03,0,0,3.07,1,0,5.0,8,7,6,3,1,6,1.26
20,2018-09-09,0,1,3.30,1,0,6.0,4,5,5,1,1,4,1.24
21,2018-09-15,1,0,3.14,1,0,6.0,5,0,0,0,1,2,1.22
22,2018-09-21,0,0,3.20,1,0,6.0,8,3,3,0,1,5,1.24
23,2018-09-28,0,1,3.26,1,0,6.0,7,3,3,1,1,6,1.24
24,September,1,2,5.28,5,0,29.0,32,18,17,5,5,23,1.28
