,date,W,L,ERA,IP,H,ER,HR,BB,SO,WHIP
0,2019-03-28,0,1,2.57,7.0,5,2,1,1,9,0.86
1,March,0,1,2.57,7.0,5,2,1,1,9,0.86
2,2019-04-02,0,1,1.38,6.0,5,0,1,2,4,1.00
3,2019-04-08,0,0,3.32,6.0,4,5,2,1,3,0.95
4,2019-04-13,1,0,3.12,7.0,6,2,1,0,7,0.92
5,2019-04-19,0,1,3.66,6.0,6,4,0,1,7,0.97
6,2019-04-26,0,1,4.30,5.2,11,5,0,0,5,1.12
7,April,1,3,4.70,30.2,32,16,4,4,26,1.17
8,2019-05-01,0,0,3.92,6.0,4,1,0,2,8,1.10
9,2019-05-07,1,0,3.99,6.0,8,3,2,1,8,1.15
10,2019-05-12,0,0,4.04,6.0,8,3,1,0,7,1.17
11,2019-05-18,1,0,4.21,6.1,5,4,1,3,6,1.18
12,2019-05-23,0,0,4.10,6.0,6,2,1,2,6,1.19
13,2019-05-29,0,1,4.01,6.0,6,2,0,1,4,1.19
14,May,2,1,3.72,36.1,37,15,5,9,39,1.27
15,2019-06-04,0,0,4.05,6.0,6,3,2,2,5,1.20
16,2019-06-09,0,1,3.83,7.0,4,1,1,1,5,1.16
17,2019-06-15,0,0,3.87,6.0,5,3,1,3,6,1.17
18,2019-06-20,0,1,4.28,3.2,10,6,2,1,3,1.24
19,2019-06-25,1,0,4.21,6.0,3,2,1,3,11,1.23
20,2019-06-30,1,0,4.02,7.0,4,1,0,0,9,1.19
21,June,2,2,4.04,35.2,32,16,7,10,39,1.18
22,2019-07-06,0,0,4.03,2.0,4,1,0,0,2,1.20
23,2019-07-13,0,0,3.86,5.0,7,0,0,1,6,1.22
24,2019-07-18,0,0,3.65,9.0,5,1,0,1,6,1.18
25,2019-07-23,0,0,3.66,7.0,6,3,0,1,7,1.17
26,2019-07-28,1,0,3.74,7.0,4,4,1,2,6,1.15
27,July,1,0,2.70,30.0,26,9,1,5,27,1.03
28,2019-08-03,0,0,3.92,5.0,8,5,2,1,2,1.18
29,2019-08-08,1,0,3.74,7.0,1,0,0,1,3,1.13
30,2019-08-13,1,0,3.63,7.0,2,1,1,0,9,1.10
31,2019-08-18,0,1,3.72,6.0,6,4,1,2,9,1.11
32,2019-08-24,0,0,3.71,5.0,4,2,1,1,5,1.10
33,2019-08-30,1,0,3.62,7.0,4,1,1,2,9,1.09
34,August,3,1,3.16,37.0,25,13,6,7,37,0.86
35,2019-09-04,0,0,3.81,5.0,9,6,1,1,2,1.12
36,2019-09-09,0,0,3.77,7.0,6,2,1,2,5,1.12
37,2019-09-14,0,0,3.73,7.0,4,2,1,0,3,1.10
38,2019-09-19,0,1,3.86,5.0,9,5,0,2,7,1.13
39,2019-09-24,0,0,3.90,7.0,6,4,3,2,9,1.13
40,September,0,1,5.52,31.0,34,19,6,7,26,1.32
