,date,W,L,ERA,IP,H,ER,HR,BB,SO,WHIP
0,2020-07-25,0,0,13.50,0.2,1,1,1,0,1,1.50
1,2020-07-26,0,1,16.20,1.0,1,2,1,1,0,1.80
2,2020-07-28,0,0,16.88,1.0,2,2,1,0,2,1.88
3,July,0,1,16.88,2.2,4,5,3,1,3,1.88
4,2020-08-03,0,0,12.27,1.0,0,0,0,0,2,1.36
5,2020-08-05,0,0,12.46,0.2,2,1,0,1,0,1.85
6,2020-08-08,0,0,11.81,1.0,2,1,0,0,1,1.88
7,2020-08-09,0,0,16.88,0.0,1,3,0,3,0,2.63
8,2020-08-13,0,0,10.38,3.1,1,0,0,0,2,1.73
9,2020-08-21,1,0,8.71,1.2,0,0,0,1,2,1.55
10,2020-08-23,0,0,7.30,2.0,3,0,0,1,0,1.62
11,2020-08-29,0,0,6.75,1.0,1,0,0,1,2,1.65
12,2020-08-31,0,0,5.19,4.0,2,0,0,1,3,1.44
13,August,1,0,3.07,14.2,12,5,0,8,12,1.36
14,2020-09-05,0,0,4.74,1.2,1,0,0,2,2,1.47
15,2020-09-06,0,0,4.66,0.1,1,0,0,1,0,1.55
16,2020-09-10,0,0,5.23,1.1,2,2,0,2,0,1.65
17,2020-09-15,1,0,4.56,5.0,4,1,0,0,6,1.48
18,2020-09-20,0,0,4.45,4.2,3,2,0,2,8,1.42
19,2020-09-25,1,0,4.28,3.1,3,1,0,1,4,1.40
20,September,2,0,3.31,16.1,14,6,0,8,20,1.35
