,date,W,L,ERA,GS,SV,IP,H,R,ER,HR,BB,SO,WHIP
0,2021-07-17,0,0,0.00,0,0,1.0,1,0,0,0,1,2,2.00
1,2021-07-30,0,0,0.00,0,0,1.0,0,0,0,0,0,1,1.00
2,2021-07-31,0,0,0.00,0,0,1.0,0,0,0,0,0,0,0.67
3,July,0,0,0.00,0,0,3.0,1,0,0,0,1,3,0.67
4,2021-08-03,0,0,0.00,0,0,1.0,0,0,0,0,0,0,0.50
5,2021-08-04,0,0,0.00,0,1,1.2,2,0,0,0,0,3,0.71
6,2021-08-08,0,0,0.00,0,0,1.0,0,0,0,0,1,0,0.75
7,2021-08-11,0,0,0.00,0,0,1.0,0,0,0,0,2,2,0.91
8,2021-08-13,0,0,0.00,0,0,1.0,1,0,0,0,0,1,0.92
9,2021-08-15,0,0,0.00,0,0,1.0,0,0,0,0,2,1,1.03
10,2021-08-19,0,0,0.00,0,0,1.0,0,0,0,0,0,1,0.94
11,2021-08-21,0,0,0.00,0,1,1.2,2,0,0,0,0,1,0.97
12,2021-08-22,0,0,0.00,0,1,1.0,0,0,0,0,1,0,0.98
13,2021-08-24,0,1,2.63,0,0,0.1,3,4,4,0,1,0,1.24
14,2021-08-26,0,0,2.45,0,0,1.0,1,0,0,0,0,0,1.23
15,August,0,1,3.09,0,3,11.2,9,4,4,0,7,9,1.37
16,2021-09-04,0,0,2.16,0,0,2.0,1,0,0,0,0,2,1.14
17,2021-09-06,0,1,2.55,0,0,1.0,3,1,1,0,0,0,1.25
18,2021-09-07,0,0,3.38,0,0,1.0,2,2,2,2,0,1,1.29
19,2021-09-10,1,0,3.20,0,0,1.0,0,0,0,0,0,1,1.22
20,2021-09-15,0,0,3.05,0,0,1.0,1,0,0,0,0,1,1.21
21,2021-09-16,0,0,2.91,0,0,1.0,0,0,0,0,0,2,1.15
22,2021-09-17,0,0,3.18,0,1,1.0,1,1,1,0,0,1,1.15
23,2021-09-20,0,0,2.92,0,0,2.0,0,0,0,0,0,1,1.05
24,2021-09-21,0,0,3.91,0,0,0.2,2,3,3,0,2,0,1.18
25,2021-09-24,0,0,3.76,0,0,1.0,0,0,0,0,0,0,1.14
26,2021-09-25,0,0,3.62,0,0,1.0,0,0,0,0,0,0,1.10
27,2021-09-28,0,0,4.03,0,0,1.2,3,2,2,0,2,0,1.21
28,September,1,1,5.65,0,1,14.1,13,9,9,2,4,9,1.19
29,2021-10-01,0,0,5.59,0,0,0.0,3,5,5,0,2,0,1.38
30,October,0,0,-.--,0,0,0.0,3,5,5,0,2,0,-.--
