,date,W,L,ERA,GS,SV,IP,H,R,ER,HR,BB,SO,WHIP
0,2019-03-28,0,1,11.57,1,0,4.2,5,6,6,1,2,3,1.50
1,March,0,1,11.57,1,0,4.2,5,6,6,1,2,3,1.50
2,2019-04-03,1,0,4.63,1,0,7.0,5,0,0,0,2,7,1.20
3,2019-04-09,0,0,3.86,1,0,7.0,5,2,2,2,2,5,1.13
4,2019-04-16,1,0,2.60,1,0,9.0,3,0,0,0,2,7,0.94
5,2019-04-22,0,1,3.21,1,0,6.0,4,4,4,1,3,4,0.98
6,2019-04-27,1,0,2.88,1,0,7.0,3,1,1,1,1,13,0.91
7,April,3,1,1.75,5,0,36.0,20,7,7,4,10,36,0.83
8,2019-05-03,0,0,2.40,1,0,8.0,7,0,0,0,2,9,0.95
9,2019-05-09,0,1,2.68,1,0,5.0,7,3,3,1,3,5,1.04
10,2019-05-15,1,0,2.61,1,0,5.0,8,1,1,0,2,3,1.13
11,2019-05-20,1,0,2.64,1,0,6.0,6,2,2,0,1,11,1.13
12,2019-05-25,0,0,2.55,1,0,6.0,5,1,1,1,2,5,1.13
13,2019-05-30,0,1,2.74,1,0,5.0,8,3,3,1,2,8,1.19
14,May,2,2,2.57,6,0,35.0,41,10,10,3,12,41,1.51
15,2019-06-05,0,0,2.55,1,0,5.2,7,0,0,0,2,7,1.22
16,2019-06-10,0,0,2.52,1,0,8.0,4,2,2,1,2,6,1.18
17,2019-06-15,1,0,2.63,1,0,6.1,4,3,3,2,4,6,1.18
18,2019-06-20,1,0,2.52,1,0,8.0,3,1,1,0,3,4,1.15
19,2019-06-26,1,0,2.40,1,0,9.0,5,1,1,1,2,7,1.12
20,June,3,0,1.70,5,0,37.0,23,7,7,4,13,30,0.97
21,2019-07-02,0,0,2.54,1,0,4.1,2,3,3,0,4,4,1.13
22,2019-07-13,0,0,2.73,1,0,5.0,7,4,4,1,3,7,1.16
23,2019-07-19,0,1,2.86,1,0,7.0,7,4,4,4,1,10,1.16
24,2019-07-24,0,1,3.00,1,0,6.0,8,5,4,2,1,5,1.18
25,2019-07-31,1,0,3.21,1,0,5.0,7,5,5,1,3,5,1.21
26,July,1,2,6.59,5,0,27.1,31,21,20,8,12,31,1.57
27,2019-08-05,1,0,3.06,1,0,7.0,7,0,0,0,1,7,1.20
28,2019-08-11,1,0,2.90,1,0,8.0,4,0,0,0,1,11,1.17
29,2019-08-16,0,1,2.94,1,0,7.0,8,4,3,2,1,5,1.18
30,2019-08-21,0,0,3.17,1,0,5.2,10,7,6,0,2,7,1.21
31,2019-08-27,0,1,3.25,1,0,6.2,4,4,4,0,3,4,1.20
32,August,2,2,3.41,5,0,34.1,33,15,13,2,8,34,1.19
33,2019-09-02,1,0,3.12,1,0,7.1,5,0,0,0,1,5,1.19
34,2019-09-08,1,0,3.08,1,0,8.0,6,2,2,1,1,3,1.18
35,2019-09-14,0,1,3.33,1,0,5.0,9,7,7,3,3,5,1.21
36,2019-09-20,0,1,3.52,1,0,5.0,7,6,6,2,4,3,1.23
37,2019-09-26,1,0,3.59,1,0,8.2,10,5,5,2,2,9,1.24
38,September,3,2,5.29,5,0,34.0,37,20,20,8,11,25,1.41
