,date,W,L,ERA,IP,H,ER,HR,BB,SO,WHIP
0,2018-04-02,1,0,6.35,5.2,7,4,3,0,5,1.24
1,2018-04-09,0,0,6.00,6.1,8,4,0,0,5,1.25
2,2018-04-14,1,0,4.26,7.0,4,1,1,2,4,1.11
3,2018-04-22,1,0,3.46,7.0,5,1,0,0,6,1.00
4,2018-04-27,0,0,3.27,7.0,6,2,1,0,7,0.97
5,April,3,0,3.27,33.0,30,12,5,2,27,0.97
6,2018-05-04,1,0,2.70,7.0,7,0,0,0,4,0.98
7,2018-05-10,1,0,2.51,6.2,5,1,1,1,4,0.96
8,2018-05-16,0,0,2.63,4.2,7,2,0,2,2,1.05
9,2018-05-21,1,0,2.24,9.0,4,0,0,1,9,0.98
10,2018-05-27,0,0,2.58,6.0,5,4,0,1,5,0.98
11,May,3,0,1.89,33.1,28,7,1,5,24,0.99
12,2018-06-01,0,1,2.49,6.0,6,1,0,1,2,1.00
13,2018-06-07,1,0,2.27,7.0,3,0,0,1,5,0.96
14,2018-06-12,0,1,2.43,6.0,6,3,1,0,5,0.96
15,2018-06-18,0,0,2.69,5.0,6,4,1,1,3,0.99
16,2018-06-23,1,0,2.69,6.2,3,2,0,2,5,0.97
17,2018-06-29,0,1,2.61,6.1,7,1,0,1,1,0.99
18,June,2,3,2.68,37.0,31,11,2,6,21,1.00
19,2018-07-04,1,0,2.63,6.0,7,2,0,4,3,1.03
20,2018-07-10,1,0,2.65,6.0,3,2,0,1,6,1.01
21,2018-07-15,0,0,2.79,4.0,6,3,0,2,2,1.05
22,2018-07-22,0,0,2.82,5.0,6,2,0,2,6,1.07
23,2018-07-28,1,0,2.83,6.0,6,2,1,1,2,1.07
24,July,3,0,3.67,27.0,28,11,1,10,19,1.41
25,2018-08-02,0,0,2.75,7.0,7,1,0,2,6,1.08
26,2018-08-07,1,0,2.74,7.0,5,2,0,0,1,1.07
27,2018-08-13,0,0,2.85,7.0,4,4,2,1,4,1.05
28,2018-08-18,1,0,2.80,6.0,5,1,1,0,7,1.04
29,2018-08-24,0,0,2.94,4.2,12,4,2,0,3,1.09
30,2018-08-29,0,1,2.96,5.0,8,2,0,1,5,1.11
31,August,2,1,3.44,36.2,41,14,5,4,26,1.23
32,2018-09-05,1,0,3.06,6.2,12,4,0,0,2,1.13
33,2018-09-11,1,0,2.99,7.0,5,1,0,1,7,1.12
34,2018-09-17,1,0,3.01,5.0,4,2,1,1,6,1.12
35,2018-09-23,1,0,2.94,7.0,2,1,1,0,8,1.09
36,2018-09-29,1,0,2.83,8.0,5,0,0,0,6,1.07
37,September,5,0,2.14,33.2,28,8,2,2,29,0.89
