,date,W,L,ERA,IP,H,ER,HR,BB,SO,WHIP
0,2021-04-02,0,1,1.69,5.1,4,1,0,1,4,0.94
1,2021-04-07,1,0,1.46,7.0,3,1,0,3,7,0.89
2,2021-04-14,1,0,2.08,5.0,5,2,0,0,3,0.92
3,2021-04-19,1,0,3.04,6.1,9,4,0,0,10,1.06
4,2021-04-24,0,1,4.08,5.0,8,5,0,1,3,1.19
5,2021-04-30,1,0,3.63,6.0,4,1,0,2,5,1.15
6,April,4,2,3.63,34.2,33,14,0,7,32,1.15
7,2021-05-06,0,0,4.62,4.1,7,6,0,1,5,1.23
8,2021-05-11,0,0,4.20,6.0,2,1,0,2,4,1.16
9,2021-05-16,0,0,4.50,5.0,6,4,0,1,6,1.18
10,2021-05-22,1,0,4.39,5.1,5,2,1,2,4,1.19
11,2021-05-29,1,0,4.01,5.1,4,0,0,1,7,1.17
12,May,2,0,4.50,26.0,24,13,1,7,26,1.19
13,2021-06-04,1,0,3.78,6.0,8,1,1,0,7,1.19
14,2021-06-09,0,1,4.11,5.2,11,5,1,3,5,1.29
15,2021-06-14,0,0,3.76,6.2,3,0,0,1,4,1.23
16,2021-06-20,0,1,3.90,4.0,7,3,0,1,4,1.27
17,2021-06-26,1,0,3.67,7.2,7,1,1,0,6,1.24
18,June,2,2,3.00,30.0,36,10,3,5,26,1.37
19,2021-07-01,1,0,3.41,7.0,5,0,0,0,6,1.20
20,2021-07-06,0,1,3.66,5.2,9,5,1,1,9,1.23
21,2021-07-17,0,0,3.57,5.0,2,1,0,1,7,1.20
22,2021-07-24,0,0,3.49,7.2,7,2,0,0,8,1.18
23,2021-07-31,0,1,3.71,5.1,6,5,2,1,6,1.19
24,July,1,2,3.82,30.2,29,13,3,3,36,1.04
25,2021-08-06,0,1,4.07,4.2,8,7,1,2,4,1.22
26,2021-08-11,1,0,3.92,7.0,3,1,1,1,10,1.19
27,2021-08-17,0,1,3.91,5.0,7,2,2,1,6,1.20
28,2021-08-23,0,0,3.72,7.0,4,0,0,0,7,1.17
29,2021-08-28,0,0,3.71,5.1,6,2,1,0,7,1.17
30,August,1,2,3.72,29.0,28,12,5,4,34,1.10
31,2021-09-03,0,0,3.73,6.1,6,3,2,2,9,1.17
32,2021-09-08,0,0,3.57,7.0,3,0,0,2,8,1.15
33,2021-09-14,0,0,3.52,5.0,5,1,0,1,9,1.16
34,2021-09-19,0,0,3.58,5.0,7,3,0,1,8,1.17
35,2021-09-24,0,1,3.88,2.2,7,7,1,2,0,1.20
36,2021-09-29,1,0,3.75,6.0,4,0,0,1,7,1.19
37,September,1,1,3.94,32.0,32,14,3,9,41,1.28
