,date,W,L,ERA,IP,H,ER,HR,BB,SO,WHIP
0,2019-03-28,0,0,0.00,1.0,1,0,0,0,0,1.00
1,March,0,1,3.86,2.1,4,1,0,1,1,2.14
2,2019-03-31,0,1,3.86,1.1,3,1,0,1,1,2.14
3,2019-04-02,0,0,5.40,1.0,2,1,0,1,0,2.40
4,2019-04-05,0,0,4.15,1.0,1,0,0,0,1,2.08
5,2019-04-07,0,0,4.26,2.0,2,1,0,0,2,1.74
6,2019-04-12,0,0,2.89,3.0,1,0,0,0,2,1.29
7,2019-04-14,0,0,2.61,1.0,1,0,0,0,1,1.26
8,2019-04-17,0,0,2.38,1.0,2,0,0,1,1,1.41
9,2019-04-19,0,0,2.03,2.0,0,0,0,1,2,1.28
10,2019-04-26,0,0,1.84,1.1,1,0,0,1,1,1.30
11,2019-04-28,0,0,2.55,3.0,3,2,1,0,4,1.25
12,April,0,0,2.35,15.1,13,4,1,4,14,1.11
13,2019-05-03,0,0,2.75,2.0,1,1,1,1,4,1.22
14,2019-05-06,0,0,2.45,2.1,2,0,0,0,3,1.18
15,2019-05-10,0,0,2.25,2.0,1,0,0,0,3,1.13
16,2019-05-14,0,1,3.24,1.0,4,3,1,0,0,1.24
17,2019-05-20,0,0,3.33,2.0,2,1,1,1,2,1.26
18,2019-05-24,0,0,4.85,2.2,7,6,2,0,2,1.38
19,2019-05-28,0,0,5.58,1.0,2,3,1,1,1,1.43
20,May,0,1,9.69,13.0,19,14,6,3,15,1.69
21,2019-09-02,0,0,5.40,1.0,2,0,0,0,0,1.45
22,2019-09-03,1,0,5.23,1.0,0,0,0,1,1,1.44
23,2019-09-05,0,1,5.51,0.0,1,1,1,0,0,1.47
24,2019-09-06,0,0,5.51,0.0,0,0,0,1,0,1.50
25,2019-09-08,0,0,5.35,1.0,1,0,0,0,2,1.49
26,2019-09-10,0,0,5.19,1.0,1,0,0,0,2,1.47
27,2019-09-11,0,0,5.05,1.0,2,0,0,1,1,1.51
28,2019-09-15,0,0,4.78,2.0,0,0,0,0,3,1.43
29,2019-09-19,0,0,4.66,1.0,0,0,0,0,2,1.40
30,2019-09-20,0,0,4.43,2.0,0,0,0,0,3,1.33
31,2019-09-22,0,0,4.29,1.1,0,0,0,1,0,1.31
32,2019-09-24,0,1,4.64,0.2,2,2,0,0,1,1.34
33,2019-09-27,0,0,4.53,1.0,2,0,0,0,2,1.35
34,2019-09-29,0,0,4.43,1.0,0,0,0,0,0,1.32
35,September,1,2,1.93,14.0,11,3,1,4,17,1.07
