,date,W,L,ERA,GS,SV,IP,H,R,ER,HR,BB,SO,WHIP
0,2021-05-11,0,0,0.00,0,0,0.1,1,0,0,0,1,0,6.00
1,2021-05-15,0,0,5.40,0,0,3.0,4,2,2,1,0,0,1.80
2,May,0,0,5.40,0,0,3.1,5,2,2,1,1,0,1.80
3,2021-06-18,0,0,4.15,0,0,1.0,0,0,0,0,0,1,1.38
4,2021-06-20,0,0,3.60,0,0,0.2,0,0,0,0,0,1,1.20
5,2021-06-21,0,0,3.00,0,0,1.0,0,0,0,0,1,1,1.17
6,2021-06-23,0,0,5.68,0,0,0.1,3,2,2,0,0,0,1.58
7,2021-06-26,0,0,4.91,0,0,1.0,0,0,0,0,1,0,1.50
8,2021-06-29,0,0,4.32,0,0,1.0,0,0,0,0,0,0,1.32
9,June,0,0,3.60,0,0,5.0,3,2,2,0,2,3,1.00
10,2021-07-01,0,0,3.86,0,0,1.0,0,0,0,0,1,2,1.29
11,2021-07-03,0,0,3.48,0,0,1.0,1,0,0,0,0,2,1.26
12,2021-07-06,0,0,3.18,0,0,1.0,0,0,0,0,0,1,1.15
13,2021-07-09,0,0,2.92,0,0,1.0,0,0,0,0,0,1,1.05
14,2021-07-11,0,0,4.05,0,0,1.0,3,3,2,0,1,1,1.28
15,2021-07-17,0,0,3.77,0,0,1.0,0,0,0,0,0,3,1.19
16,2021-07-19,0,0,3.52,0,0,1.0,0,0,0,0,0,0,1.11
17,2021-07-21,0,0,3.31,0,0,1.0,0,0,0,0,0,1,1.04
18,2021-07-24,0,0,3.12,0,0,1.0,0,0,0,0,0,1,0.98
19,2021-07-27,0,0,2.95,0,0,1.0,0,0,0,0,0,0,0.93
20,July,0,0,1.80,0,0,10.0,4,3,2,0,2,12,0.60
21,2021-08-20,0,0,2.79,0,0,1.0,1,0,0,0,0,1,0.93
22,2021-08-21,0,0,3.54,0,0,1.0,1,2,2,1,1,0,0.98
23,2021-08-23,0,1,3.92,0,0,0.1,0,1,1,0,3,1,1.11
24,2021-08-26,0,0,3.86,0,1,0.1,1,1,0,0,1,1,1.19
25,2021-08-29,0,0,3.68,0,0,1.0,1,0,0,0,0,0,1.18
26,August,0,1,7.36,0,1,3.2,4,4,3,1,5,3,2.45
27,2021-09-01,0,0,4.30,0,0,1.0,2,2,2,1,0,1,1.22
28,2021-09-07,0,0,4.13,0,0,1.0,0,0,0,0,0,1,1.17
29,2021-09-10,0,0,3.96,0,0,1.0,0,0,0,0,0,1,1.12
30,2021-09-11,0,0,3.81,0,0,1.0,0,0,0,0,1,0,1.12
31,2021-09-12,0,0,3.67,0,0,1.0,0,0,0,0,0,0,1.07
32,2021-09-15,0,0,3.54,0,0,1.0,1,0,0,0,0,1,1.07
33,2021-09-17,0,0,3.45,0,0,0.2,1,0,0,0,1,0,1.12
34,2021-09-19,0,0,3.41,0,0,0.1,0,0,0,0,0,0,1.10
35,2021-09-21,0,0,3.30,0,0,1.0,0,0,0,0,0,1,1.07
36,2021-09-23,0,0,3.19,0,0,1.0,0,0,0,0,0,3,1.03
37,2021-09-24,0,0,3.09,0,0,1.0,0,0,0,0,0,1,1.00
38,2021-09-25,0,0,3.00,0,0,1.0,0,0,0,0,0,0,0.97
39,2021-09-29,0,1,3.18,0,0,1.0,2,1,1,0,0,0,1.00
40,2021-09-30,0,0,3.09,0,0,1.0,0,0,0,0,0,0,0.97
41,September,0,1,2.08,0,0,13.0,6,3,3,1,2,9,0.62
42,2021-10-03,0,0,3.00,0,0,1.0,1,0,0,0,0,2,0.97
43,October,0,0,0.00,0,0,1.0,1,0,0,0,0,2,1.00
