,date,W,L,ERA,IP,H,ER,HR,BB,SO,WHIP
0,2018-06-29,0,0,0.00,1.2,2,0,0,0,2,1.20
1,June,0,0,0.00,1.2,2,0,0,0,2,1.20
2,2018-07-03,0,0,0.00,0.1,0,0,0,0,0,1.00
3,2018-07-06,0,0,0.00,2.1,0,0,0,0,4,0.46
4,2018-07-08,0,0,1.80,0.2,3,1,0,0,1,1.00
5,2018-07-09,0,0,1.69,0.1,0,0,0,0,0,0.94
6,2018-07-12,0,0,1.42,1.0,2,0,0,0,0,1.11
7,2018-07-13,0,0,1.23,1.0,0,0,0,0,2,0.95
8,2018-07-15,0,0,1.00,1.2,0,0,0,0,1,0.78
9,2018-07-20,0,1,0.90,1.0,1,0,0,1,2,0.90
10,2018-07-22,0,0,0.84,0.2,0,0,0,0,0,0.84
11,2018-07-24,0,0,1.50,1.1,2,1,0,0,1,0.92
12,2018-07-26,0,0,1.42,0.2,0,0,0,1,0,0.95
13,2018-07-29,0,0,1.38,0.1,2,0,0,0,1,1.08
14,July,0,1,1.59,11.1,10,2,0,2,12,1.06
15,2018-08-01,0,0,2.51,1.1,1,2,0,1,1,1.12
16,2018-08-04,0,0,2.93,1.0,1,1,1,0,0,1.11
17,2018-08-05,0,0,3.38,0.2,0,1,0,2,0,1.19
18,2018-08-07,0,0,3.06,1.2,0,0,0,0,3,1.08
19,2018-08-11,0,0,3.32,1.1,2,1,0,1,1,1.16
20,2018-08-14,0,0,3.15,1.0,0,0,0,0,1,1.10
21,2018-08-19,0,0,3.00,1.0,0,0,0,0,1,1.05
22,2018-08-22,0,0,2.86,1.0,0,0,0,0,1,1.00
23,2018-08-24,0,0,3.22,0.1,2,1,0,0,0,1.07
24,2018-08-27,0,0,3.09,1.0,2,0,0,0,2,1.11
25,2018-08-29,0,0,2.96,1.0,2,0,0,2,0,1.23
26,August,0,0,4.76,11.1,10,6,1,6,10,1.41
27,2018-09-01,0,0,2.84,1.0,1,0,0,0,0,1.22
28,2018-09-04,0,0,3.04,1.1,3,1,0,1,0,1.31
29,2018-09-08,0,0,4.00,0.1,3,3,0,1,1,1.44
30,2018-09-12,0,0,3.86,1.0,0,0,0,0,2,1.39
31,2018-09-13,0,0,3.81,0.1,0,0,0,2,1,1.45
32,2018-09-16,0,0,3.60,1.2,0,0,0,1,4,1.40
33,2018-09-18,0,0,3.56,0.1,1,0,0,1,0,1.45
34,2018-09-21,0,0,3.73,1.0,1,1,0,1,0,1.47
35,2018-09-22,0,1,3.98,0.1,2,1,0,0,1,1.52
36,2018-09-26,0,0,3.63,3.0,0,0,0,0,1,1.38
37,2018-09-30,1,0,3.35,3.0,0,0,0,0,2,1.27
38,September,1,1,4.05,13.1,11,6,0,7,12,1.35
