,date,W,L,ERA,GS,SV,IP,H,R,ER,HR,BB,SO,WHIP
0,March,0,0,0.00,0,0,1.0,0,0,0,0,0,0,0.00
1,2018-03-31,0,0,0.00,0,0,1.0,0,0,0,0,0,0,0.00
2,2018-04-03,0,0,0.00,0,0,2.0,1,0,0,0,1,1,0.67
3,2018-04-07,0,0,0.00,0,0,2.0,0,0,0,0,0,0,0.40
4,2018-04-08,0,1,1.50,0,0,1.0,2,1,1,0,1,1,0.83
5,2018-04-11,0,0,1.29,0,0,1.0,0,0,0,0,1,2,0.86
6,2018-04-13,0,0,1.13,0,0,1.0,0,0,0,0,0,2,0.75
7,2018-04-14,0,0,1.00,0,0,1.0,0,0,0,0,0,1,0.67
8,2018-04-20,0,0,1.80,0,0,1.0,2,1,1,1,0,1,0.80
9,2018-04-25,0,0,3.18,0,0,1.1,3,2,2,0,0,0,0.97
10,2018-04-27,0,0,2.77,0,0,1.2,1,0,0,0,1,1,1.00
11,2018-04-30,1,0,2.57,0,0,1.0,0,0,0,0,1,0,1.00
12,April,1,1,2.77,0,0,13.0,9,4,4,1,5,9,1.08
13,2018-05-02,0,0,2.40,0,0,1.0,2,0,0,0,0,1,1.07
14,2018-05-05,0,0,2.25,0,0,1.0,0,0,0,0,0,0,1.00
15,2018-05-07,0,0,2.65,0,0,1.0,1,1,1,0,0,0,1.00
16,2018-05-09,0,0,5.60,0,0,0.2,3,6,6,0,3,0,1.30
17,2018-05-11,0,0,5.30,0,0,1.0,0,0,0,0,0,1,1.23
18,2018-05-14,0,0,5.03,0,0,1.0,0,0,0,0,0,1,1.17
19,2018-05-15,1,0,4.79,0,0,1.0,0,0,0,0,0,1,1.11
20,2018-05-17,0,1,5.32,0,0,1.1,1,2,2,0,2,1,1.18
21,2018-05-19,0,0,5.09,0,0,1.0,1,0,0,0,0,2,1.17
22,2018-05-22,0,0,5.92,0,0,1.1,1,3,3,0,2,1,1.23
23,2018-05-27,0,0,6.26,0,0,3.0,5,3,3,1,1,1,1.32
24,May,1,1,10.13,0,0,13.1,14,15,15,1,8,9,1.65
25,2018-06-04,1,0,5.83,0,0,2.0,0,0,0,0,1,2,1.26
26,2018-06-15,0,0,5.46,0,0,2.0,1,0,0,0,1,0,1.24
27,2018-06-22,0,0,5.97,0,0,0.1,0,2,2,0,2,0,1.29
28,2018-06-28,0,0,5.85,0,0,0.2,0,0,0,0,0,0,1.27
29,June,1,0,3.60,0,0,5.0,1,2,2,0,4,2,1.00
30,2018-07-01,0,0,5.97,0,0,2.1,2,2,2,1,0,3,1.24
31,2018-07-03,0,0,5.75,0,0,1.1,1,0,0,0,1,2,1.25
32,July,0,0,4.91,0,0,3.2,3,2,2,1,1,5,1.09
33,2018-08-04,0,0,5.45,0,0,2.0,1,0,0,0,0,2,1.21
34,2018-08-09,0,0,5.31,0,0,1.0,2,0,0,0,0,0,1.23
35,2018-08-10,0,0,5.72,0,0,0.1,2,2,2,1,1,0,1.30
36,August,0,0,5.40,0,0,3.1,5,2,2,1,1,2,1.80
37,2018-09-03,0,0,5.58,0,0,1.0,0,0,0,0,2,2,1.31
38,2018-09-11,0,0,5.58,0,0,0.0,1,0,0,0,1,0,1.36
39,2018-09-19,0,0,5.36,0,0,1.2,2,0,0,0,0,4,1.36
40,2018-09-23,0,0,5.53,0,0,0.1,2,1,1,0,0,1,1.39
41,2018-09-26,0,0,5.61,0,0,1.0,1,1,1,1,0,2,1.38
42,2018-09-30,0,0,5.56,0,0,0.1,0,0,0,0,0,0,1.37
43,September,0,0,4.15,0,0,4.1,6,2,2,1,3,9,2.08
