,date,W,L,ERA,IP,H,ER,HR,BB,SO,WHIP
0,2019-07-23,0,0,0.00,2.0,2,0,0,0,2,1.00
1,2019-07-27,0,0,0.00,1.2,0,0,0,1,1,0.82
2,2019-07-31,0,0,3.18,2.0,3,2,1,0,2,1.06
3,July,0,0,3.18,5.2,5,2,1,1,5,1.06
4,2019-08-04,1,0,2.25,2.1,2,0,0,0,1,1.00
5,2019-08-09,0,0,2.00,1.0,1,0,0,1,1,1.11
6,2019-08-12,0,0,1.80,1.0,0,0,0,0,3,1.00
7,2019-08-14,0,0,1.50,2.0,0,0,0,0,4,0.83
8,2019-08-16,0,0,1.38,1.0,0,0,0,1,1,0.85
9,2019-08-19,1,0,1.20,2.0,2,0,0,2,0,1.00
10,2019-08-24,0,0,1.08,1.2,1,0,0,0,4,0.96
11,2019-08-27,0,0,1.50,1.1,1,1,1,0,0,0.94
12,2019-08-28,0,0,1.42,1.0,0,0,0,0,2,0.89
13,August,2,0,0.68,13.1,7,1,1,4,16,0.83
14,2019-09-03,0,0,2.25,1.0,1,2,1,0,1,0.90
15,2019-09-05,0,0,2.14,1.0,1,0,0,0,0,0.90
16,2019-09-06,0,0,2.05,1.0,2,0,0,0,0,0.95
17,2019-09-10,0,0,2.74,1.0,3,2,1,0,1,1.04
18,2019-09-12,0,0,2.63,1.0,1,0,0,0,2,1.04
19,2019-09-15,0,0,2.88,1.0,1,1,1,0,2,1.04
20,2019-09-18,0,0,2.77,1.0,0,0,0,0,2,1.00
21,2019-09-22,0,0,2.67,1.0,1,0,0,0,1,1.00
22,2019-09-24,0,0,2.57,1.0,1,0,0,0,1,1.00
23,2019-09-28,0,0,2.48,1.0,0,0,0,0,3,0.97
24,September,0,0,4.50,10.0,11,5,3,0,13,1.10
