,date,W,L,ERA,GS,SV,IP,H,R,ER,HR,BB,SO,WHIP
0,March,0,0,4.50,0,0,2.0,2,2,1,0,0,3,1.00
1,2019-03-31,0,0,4.50,0,0,2.0,2,2,1,0,0,3,1.00
2,2019-04-02,0,0,2.25,0,0,2.0,1,0,0,0,1,2,1.00
3,2019-04-07,0,0,1.69,0,0,1.1,0,0,0,0,0,2,0.75
4,2019-04-11,1,0,1.42,0,0,1.0,0,0,0,0,0,1,0.63
5,2019-04-14,0,0,1.23,0,0,1.0,0,0,0,0,0,2,0.55
6,2019-04-15,0,0,0.96,0,0,2.0,0,0,0,0,0,2,0.43
7,2019-04-18,0,0,0.84,0,0,1.1,2,0,0,0,0,3,0.56
8,2019-04-20,0,0,1.59,0,0,0.2,1,1,1,0,1,1,0.71
9,2019-04-23,1,0,1.50,0,0,0.2,0,0,0,0,0,2,0.67
10,2019-04-24,0,0,2.08,0,0,1.0,1,1,1,0,2,0,0.85
11,2019-04-28,0,0,1.93,0,0,1.0,1,0,0,0,0,0,0.86
12,2019-04-30,0,0,2.45,0,0,0.2,1,1,1,0,0,2,0.89
13,April,2,0,2.13,0,0,12.2,7,3,3,0,4,17,0.87
14,2019-05-02,0,0,2.30,0,0,1.0,0,0,0,0,0,1,0.83
15,2019-05-07,0,0,2.60,0,0,1.2,2,1,1,1,0,2,0.87
16,2019-05-08,0,1,3.12,0,0,0.0,1,1,1,1,0,0,0.92
17,2019-05-11,0,0,2.95,0,0,1.0,0,0,0,0,0,0,0.87
18,2019-05-15,0,0,2.79,0,0,1.0,0,0,0,0,1,2,0.88
19,2019-05-19,0,0,3.98,0,0,1.0,1,3,3,0,3,3,1.03
20,2019-05-22,0,0,3.63,0,0,2.0,0,0,0,0,0,3,0.94
21,2019-05-26,0,0,3.47,0,0,1.0,0,0,0,0,1,2,0.94
22,2019-05-28,0,0,3.96,0,0,1.2,2,2,2,0,1,2,1.00
23,May,0,1,6.10,0,0,10.1,6,7,7,2,6,15,1.16
24,2019-06-16,0,0,3.67,0,0,2.0,1,0,0,0,1,2,1.00
25,2019-06-22,0,0,3.54,0,0,1.0,0,0,0,0,0,1,0.96
26,2019-06-23,0,0,3.41,0,0,1.0,2,0,0,0,0,1,1.00
27,2019-06-29,0,0,3.30,0,0,1.0,2,1,0,0,1,1,1.07
28,June,0,0,0.00,0,0,5.0,5,1,0,0,2,5,1.40
29,2019-07-01,0,0,3.77,0,0,1.0,2,2,2,1,2,1,1.16
30,2019-07-07,0,0,3.90,0,0,1.1,1,1,1,0,0,3,1.14
31,2019-07-13,0,0,3.78,0,0,1.0,1,0,0,0,0,1,1.14
32,2019-07-14,0,0,3.57,0,0,2.0,0,0,0,0,0,4,1.08
33,2019-07-16,0,0,3.50,0,0,0.2,1,0,0,0,0,0,1.08
34,2019-07-18,0,1,4.66,0,0,0.2,4,5,5,1,1,0,1.20
35,2019-07-19,0,0,5.02,0,0,1.0,1,2,2,1,1,2,1.22
36,2019-07-23,0,0,5.35,0,0,1.0,1,3,2,1,1,2,1.24
37,2019-07-26,0,0,4.97,0,0,3.0,0,0,0,0,2,3,1.20
38,2019-07-29,0,0,4.85,0,0,1.0,1,0,0,0,0,2,1.20
39,2019-07-30,0,0,4.84,0,0,2.0,2,1,1,1,0,1,1.19
40,July,0,1,7.98,0,0,14.2,14,14,13,5,7,19,1.43
41,2019-08-03,0,0,4.80,0,0,0.1,1,0,0,0,0,1,1.20
42,2019-08-04,1,0,4.73,0,0,0.2,0,0,0,0,1,1,1.20
43,2019-08-06,0,0,4.70,0,0,0.1,0,0,0,0,1,1,1.22
44,2019-08-11,0,0,4.60,0,0,1.0,0,0,0,0,0,2,1.19
45,2019-08-13,0,0,4.50,0,0,1.0,0,0,0,0,0,1,1.17
46,2019-08-15,0,0,4.41,0,0,1.0,0,0,0,0,0,2,1.14
47,2019-08-20,0,0,4.32,0,0,1.0,0,0,0,0,0,0,1.12
48,2019-08-23,0,0,4.24,0,0,1.0,0,0,0,0,0,1,1.10
49,2019-08-25,0,0,4.15,0,0,1.0,1,0,0,0,1,2,1.12
50,2019-08-27,0,0,4.08,0,0,1.0,1,0,0,0,0,1,1.11
51,2019-08-29,0,0,4.00,0,0,1.0,0,0,0,0,0,0,1.09
52,August,1,0,0.00,0,0,9.1,3,0,0,0,3,12,0.64
53,2019-09-01,0,0,3.95,0,0,0.2,1,0,0,0,0,0,1.10
54,2019-09-04,0,0,3.88,0,0,1.0,0,0,0,0,0,0,1.08
55,2019-09-05,0,0,3.97,0,0,1.0,1,1,1,1,0,2,1.08
56,2019-09-08,0,0,3.90,0,0,1.0,0,0,0,0,1,3,1.08
57,2019-09-12,0,0,3.84,0,0,1.0,0,0,0,0,0,1,1.06
58,2019-09-13,0,0,3.92,0,0,1.0,1,1,1,0,1,0,1.07
59,2019-09-18,0,0,3.94,0,0,2.0,2,1,1,1,0,2,1.07
60,2019-09-26,0,0,3.88,0,0,1.0,0,0,0,0,0,1,1.05
61,2019-09-27,0,0,3.82,0,0,1.0,0,0,0,0,0,0,1.04
62,2019-09-29,0,0,3.76,0,0,1.0,1,0,0,0,0,1,1.04
63,September,0,0,2.53,0,0,10.2,6,3,3,2,2,10,0.75
