,date,W,L,ERA,IP,H,ER,HR,BB,SO,WHIP
0,2021-04-03,0,1,8.10,3.1,7,3,1,2,5,2.70
1,2021-04-08,0,0,7.56,5.0,6,4,1,1,5,1.92
2,April,0,1,7.56,8.1,13,7,2,3,10,1.92
3,2021-05-02,0,0,6.39,4.1,5,2,0,1,4,1.74
4,2021-05-07,0,1,6.61,3.2,6,3,1,3,3,1.90
5,2021-05-13,0,0,5.91,5.0,4,2,1,1,9,1.69
6,2021-05-19,0,1,7.20,3.2,8,6,3,0,3,1.76
7,2021-05-24,0,0,5.63,7.0,2,0,0,2,7,1.50
8,2021-05-30,1,0,5.11,5.0,2,1,1,1,3,1.38
9,May,1,2,4.40,28.2,27,14,6,8,29,1.22
10,2021-06-05,1,0,4.71,5.0,7,1,0,1,4,1.40
11,2021-06-11,0,0,4.91,5.2,5,4,1,2,6,1.38
12,2021-06-16,0,1,4.64,6.2,3,2,1,2,9,1.31
13,2021-06-22,0,0,4.33,6.0,2,1,1,1,7,1.23
14,2021-06-27,1,0,4.27,5.0,6,2,1,1,3,1.24
15,June,2,1,3.18,28.1,23,10,4,7,29,1.06
16,2021-07-03,0,0,4.06,5.2,2,1,1,3,5,1.21
17,2021-07-10,0,1,4.34,3.2,4,4,3,2,5,1.23
18,2021-07-19,0,1,5.04,0.1,4,6,2,2,0,1.31
19,2021-07-25,0,0,4.84,5.0,5,1,0,0,6,1.29
20,2021-07-30,1,0,4.75,5.1,4,2,1,1,1,1.27
21,July,1,2,6.30,20.0,19,14,7,8,17,1.35
22,2021-08-05,1,0,4.43,6.0,3,0,0,1,6,1.23
23,2021-08-10,0,0,4.34,2.0,1,0,0,1,0,1.22
24,August,1,0,0.00,8.0,4,0,0,2,6,0.75
25,2021-09-11,0,0,4.55,1.2,5,3,2,0,1,1.25
26,2021-09-17,0,0,4.50,3.0,2,1,1,1,2,1.24
27,2021-09-22,0,1,4.89,1.1,5,5,1,1,0,1.29
28,September,0,1,13.50,6.0,12,9,4,2,3,2.33
29,2021-10-02,0,0,4.80,2.0,1,0,0,0,0,1.27
30,October,0,0,0.00,2.0,1,0,0,0,0,0.50
