,date,W,L,ERA,IP,H,ER,HR,BB,SO,WHIP
0,March,0,0,0.00,2.0,1,0,0,1,3,1.00
1,2018-03-31,0,0,0.00,2.0,1,0,0,1,3,1.00
2,2018-04-05,0,0,0.00,0.1,1,0,0,1,1,1.71
3,2018-04-07,0,0,0.00,1.0,1,0,0,0,0,1.50
4,2018-04-09,0,0,0.00,1.0,0,0,0,0,2,1.15
5,2018-04-10,0,0,0.00,1.0,1,0,0,0,0,1.13
6,2018-04-12,0,0,0.00,1.0,0,0,0,0,1,0.95
7,2018-04-18,0,0,0.00,2.0,2,0,0,0,0,0.96
8,2018-04-20,0,0,0.00,1.0,1,0,0,1,2,1.07
9,2018-04-22,0,0,0.00,1.2,0,0,0,0,4,0.91
10,2018-04-24,0,0,0.00,1.0,0,0,0,0,3,0.83
11,2018-04-25,0,0,0.00,1.0,1,0,0,0,2,0.85
12,2018-04-27,0,0,0.66,0.2,2,1,0,0,1,0.95
13,2018-04-30,0,0,0.59,1.2,3,0,0,1,1,1.11
14,April,0,0,0.68,13.1,12,1,0,3,17,1.13
15,2018-05-01,0,0,1.10,1.0,1,1,1,0,1,1.10
16,2018-05-03,0,0,1.04,1.0,0,0,0,0,2,1.04
17,2018-05-04,0,0,1.02,0.1,1,0,0,1,1,1.13
18,2018-05-08,0,0,0.92,2.0,0,0,0,0,2,1.02
19,2018-05-10,0,0,1.33,0.2,2,1,0,1,0,1.13
20,2018-05-12,0,0,1.69,1.0,1,1,0,2,3,1.22
21,2018-05-13,0,0,1.61,1.0,0,0,0,0,1,1.16
22,2018-05-16,0,0,2.31,1.0,1,2,0,2,1,1.24
23,2018-05-19,0,0,2.25,0.2,0,0,0,0,1,1.21
24,2018-05-20,0,0,2.19,0.2,2,0,0,0,1,1.26
25,2018-05-22,0,0,2.16,0.1,0,0,0,0,1,1.24
26,2018-05-23,0,0,2.08,1.0,2,0,0,1,1,1.31
27,2018-05-26,0,0,2.03,0.2,0,0,0,0,1,1.28
28,2018-05-27,0,0,2.00,0.1,0,0,0,0,1,1.26
29,2018-05-28,0,0,1.98,0.1,1,0,0,0,0,1.28
30,2018-05-30,0,0,2.22,1.0,1,1,1,0,2,1.27
31,May,0,0,4.15,13.0,12,6,2,7,19,1.46
32,2018-06-02,0,0,2.15,1.0,2,0,0,0,2,1.30
33,2018-06-03,0,0,2.76,0.0,1,2,1,1,0,1.36
34,2018-06-06,0,0,3.26,1.0,2,2,0,0,2,1.38
35,2018-06-08,0,1,3.73,1.0,2,2,1,0,2,1.40
36,2018-06-12,1,0,3.62,1.0,1,0,0,1,1,1.42
37,2018-06-13,0,0,3.51,1.0,0,0,0,0,1,1.38
38,2018-06-16,0,0,3.41,1.0,1,0,0,0,3,1.37
39,2018-06-21,0,0,4.15,0.1,2,3,0,1,1,1.44
40,2018-06-23,0,0,4.04,1.0,0,0,0,0,1,1.40
41,2018-06-26,0,0,4.00,0.1,0,0,0,1,1,1.42
42,2018-06-27,0,0,4.14,1.0,1,1,1,0,2,1.41
43,2018-06-29,0,0,4.06,0.2,1,0,0,1,0,1.43
44,June,1,1,9.64,9.1,13,10,3,5,16,1.93
45,2018-07-01,0,0,3.86,2.0,2,0,0,1,2,1.44
46,2018-07-03,0,0,3.76,1.0,0,0,0,0,3,1.40
47,2018-07-06,0,0,3.89,1.0,3,1,0,0,0,1.44
48,2018-07-11,0,0,3.80,1.0,0,0,0,0,2,1.41
49,2018-07-12,0,0,3.77,0.1,2,0,0,1,1,1.47
50,2018-07-14,0,0,3.74,0.1,0,0,0,0,1,1.45
51,2018-07-15,0,0,3.63,1.1,0,0,0,0,3,1.41
52,2018-07-21,0,0,3.52,1.1,1,0,0,1,0,1.41
53,2018-07-24,0,0,3.45,1.0,0,0,0,0,1,1.38
