,date,W,L,ERA,IP,H,ER,HR,BB,SO,WHIP
0,2020-07-24,1,0,0.00,2.0,1,0,0,0,3,0.50
1,2020-07-27,0,0,0.00,1.1,0,0,0,0,1,0.30
2,2020-07-29,0,0,2.08,1.0,1,1,1,0,1,0.46
3,2020-07-31,0,1,3.60,0.2,1,1,0,1,0,0.80
4,July,1,1,3.60,5.0,3,2,1,1,5,0.80
5,2020-08-05,0,0,2.57,2.0,0,0,0,0,2,0.57
6,2020-08-08,0,0,2.25,1.0,0,0,0,0,1,0.50
7,2020-08-09,0,0,2.00,1.0,0,0,0,1,1,0.56
8,2020-08-14,0,1,2.89,0.1,3,1,0,0,1,0.86
9,2020-08-16,0,0,2.61,1.0,2,0,0,0,1,0.97
10,2020-08-25,0,0,2.03,3.0,0,0,0,0,5,0.75
11,2020-08-30,0,0,2.12,3.2,4,1,1,2,7,0.94
12,August,0,1,1.50,12.0,9,2,1,3,18,1.00
13,2020-09-05,1,0,2.05,5.0,4,1,1,2,8,1.00
14,2020-09-12,0,1,2.63,5.1,7,3,0,1,5,1.10
15,2020-09-17,0,0,4.34,1.2,8,6,4,0,3,1.31
16,2020-09-22,1,0,3.82,6.1,4,1,1,1,7,1.22
17,2020-09-27,0,1,5.15,1.1,5,6,0,2,1,1.36
18,September,2,2,7.78,19.2,28,17,6,6,24,1.73
