,date,W,L,ERA,GS,SV,IP,H,R,ER,HR,BB,SO,WHIP
0,2021-04-01,0,1,4.50,1,0,6.0,5,3,3,1,3,12,1.33
1,2021-04-07,0,0,3.65,1,0,6.1,3,2,2,1,4,12,1.22
2,2021-04-13,1,0,2.11,1,0,9.0,3,0,0,0,1,11,0.89
3,2021-04-18,1,0,2.45,1,0,8.0,6,3,3,1,2,13,0.92
4,2021-04-24,0,1,2.48,1,0,7.0,4,2,2,2,3,9,0.94
5,2021-04-30,1,0,2.76,1,0,6.0,7,3,3,0,1,11,0.99
6,April,3,2,2.76,6,0,42.1,28,13,13,5,14,68,0.99
7,2021-05-05,0,0,2.98,1,0,6.0,9,4,3,1,1,9,1.08
8,2021-05-11,1,0,2.95,1,0,6.2,9,2,2,1,3,8,1.16
9,2021-05-16,0,1,3.17,1,0,4.2,5,3,3,0,4,7,1.22
10,2021-05-22,0,0,3.32,1,0,5.1,8,3,3,1,1,6,1.26
11,2021-05-27,1,0,3.13,1,0,7.0,1,1,1,1,4,12,1.21
12,May,2,1,3.64,5,0,29.2,32,13,12,4,13,42,1.52
13,2021-06-01,1,0,3.08,1,0,7.0,5,3,2,0,2,7,1.19
14,2021-06-08,1,0,2.96,1,0,6.0,5,1,1,0,2,5,1.19
15,2021-06-13,0,1,3.28,1,0,5.2,10,5,5,2,2,8,1.25
16,June,2,1,3.86,3,0,18.2,20,9,8,2,6,20,1.39
17,2021-09-24,0,0,3.17,1,0,3.0,0,0,0,0,0,3,1.21
18,2021-09-30,0,0,3.17,1,0,3.0,4,1,1,0,0,1,1.21
19,September,0,0,1.50,2,0,6.0,4,1,1,0,0,4,0.67
